chr	gene1	gene2	PIP
chr17	LOC102723517	LINC02078	0.0440220110055028
chr4	SLAIN2	MGARP	0.0440220110055028
chr7	C7orf69	MYH16	0.0440220110055028
chr6	HCG11	AFDN	0.0427713856928464
chr17	P2RX1	FAM117A	0.0425212606303152
chr12	CACNA2D4	SCN8A	0.0420210105052526
chr12	RAD52	TSFM	0.0417708854427214
chr12	KCCAT198	TRAFD1	0.0417708854427214
chr12	CRY1	NOS1	0.0417708854427214
chr14	TMEM229B	SLIRP	0.0417708854427214
chr7	RAC1	PRSS58	0.0417708854427214
chr3	LOC100130207	RETNLB	0.0407703851925963
chr4	PHOX2B	SLAIN2	0.0407703851925963
chr19	BTBD2	PROSER3	0.0402701350675338
chr12	CLEC9A	NEUROD4	0.0400200100050025
chr6	ADGRF2	SAMD3	0.0400200100050025
chr19	GADD45B	LOC93429	0.0390195097548774
chr6	COX7A2	OSTCP1	0.0382691345672836
chr7	AZGP1P1	MUC12-AS1	0.0382691345672836
chr10	LINC02650	PLCE1	0.0380190095047524
chr12	FAM66C	LINC02458	0.0375187593796898
chr14	TMEM229B	PAPLN	0.0375187593796898
chr4	ARHGAP10	LINC02233	0.0375187593796898
chr7	TMEM184A	PON3	0.0375187593796898
chr15	CCNDBP1	ATP8B4	0.0372686343171586
chr19	KLF2	IGFL2	0.0372686343171586
chr2	C2orf42	INO80D	0.0370185092546273
chr2	DUSP19	INO80D	0.0370185092546273
chr5	EGFLAM-AS2	LINC02059	0.0370185092546273
chr7	CUX1	SSBP1	0.0370185092546273
chr19	PLK5	ZNF544	0.036768384192096
chr7	MPP6	OR2F2	0.036768384192096
chr10	PLCE1	PDZD8	0.0365182591295648
chr3	DPPA2	NMRAL2P	0.0365182591295648
chr3	LOC101929130	LINC02037	0.0365182591295648
chr5	HAVCR1	PANK3	0.0365182591295648
chr10	LINC00708	CDK1	0.0362681340670335
chr10	LINC00710	FRA10AC1	0.0360180090045022
chr13	LINC00374	GRTP1	0.0360180090045022
chr6	SYCP2L	AGPAT4	0.0352676338169085
chr9	FAM122A	PPP1R26	0.0352676338169085
chr13	RNASEH2B	ALG11	0.0350175087543772
chr19	KLF2	REX1BD	0.0350175087543772
chr8	RAD54B	JRK	0.0350175087543772
chr11	CAPN1	NTM	0.0347673836918459
chr21	LINC01671	DIP2A	0.0347673836918459
chr7	LMTK2	OR6V1	0.0347673836918459
chr10	LOC283045	NEURL1-AS1	0.0342671335667834
chr12	CACNA1C-AS1	UBE3B	0.0342671335667834
chr18	TYMSOS	ZNF396	0.0342671335667834
chr2	ATP5MC3	STK25	0.0342671335667834
chr5	MARCHF3	PDE6A	0.0342671335667834
chr12	GTSF1	ZNF664-RFLNA	0.0340170085042521
chr2	GFPT1	DUSP11	0.0340170085042521
chr12	C1R	LINC02381	0.0337668834417209
chr6	FOXCUT	SIRT5	0.0335167583791896
chr6	TRIM10	LOC285847	0.0335167583791896
chr14	ZFYVE26	PACS2	0.0332666333166583
chr22	CCDC188	DDTL	0.0332666333166583
chr3	TMEM45A	MAP3K13	0.0330165082541271
chr21	C21orf62	KCNE1	0.0327663831915958
chr6	ARMC2-AS1	TAAR6	0.0327663831915958
chr11	TPP1	SBF2-AS1	0.0325162581290645
chr14	LINC00648	LINC01629	0.0325162581290645
chr18	LINC00526	LINC01443	0.0325162581290645
chr18	CABYR	LINC01924	0.0325162581290645
chr18	ENOSF1	DSCAS	0.0322661330665333
chr15	PSTPIP1	NTRK3	0.032016008004002
chr3	ACKR2	SLC25A20	0.032016008004002
chr16	LINC01568	CDT1	0.0317658829414707
chr20	NAA20	TP53INP2	0.0315157578789395
chr16	GLIS2	PDP2	0.0310155077538769
chr15	SLC12A6	HEXA-AS1	0.0307653826913457
chr17	MYO19	RUNDC3A	0.0307653826913457
chr10	CEP55	LOC101927692	0.0305152576288144
chr12	KRT6A	SDS	0.0302651325662831
chr9	LOC101928523	RGS3	0.0302651325662831
chr10	TUBB8	LINC00710	0.0300150075037519
chr4	KIAA1109	HAND2	0.0295147573786893
chr5	NR3C1	RPL26L1	0.0295147573786893
chr7	TMEM106B	CHN2-AS1	0.0295147573786893
chr15	TYRO3	ISG20	0.0292646323161581
chr10	KCNMA1	LOC112577516	0.0287643821910955
chr7	GLI3	POT1	0.0285142571285643
chr15	INTS14	LINC01197	0.028264132066033
chr14	LOC101927124	FANCM	0.0277638819409705
chr14	REC8	ABCD4	0.0277638819409705
chr18	LOC101927571	HSBP1L1	0.0277638819409705
chr19	RETN	FPR3	0.0277638819409705
chr22	POM121L10P	ASPHD2	0.0277638819409705
chr18	TTC39C-AS1	MBP	0.0275137568784392
chr5	LOC101929645	LINC01944	0.0275137568784392
chr8	KCNV1	ZNF34	0.0275137568784392
chr4	NWD2	TMEM192	0.0270135067533767
chr9	SLC25A51	C9orf129	0.0267633816908454
chr17	LOC100288866	C17orf64	0.0265132566283142
chr4	LINC02505	COQ2	0.0260130065032516
chr17	MYOCD-AS1	COIL	0.0257628814407204
chr18	LINC01904	CXADRP3	0.0257628814407204
chr10	LINC00856	LBX1-AS1	0.0255127563781891
chr9	ZBTB26	FAM166A	0.0252626313156578
chr12	CLEC12A	PTPRR	0.0250125062531266
chr5	LINC01455	TRIM52-AS1	0.0250125062531266
chr17	DHRS7B	PRKCA	0.0247623811905953
chr18	ARHGAP28	KC6	0.0247623811905953
chr18	NPC1	SLC14A2-AS1	0.0247623811905953
chr13	LINC00426	LINC00564	0.024512256128064
chr14	TOMM20L	RIN3	0.024512256128064
chr17	CD68	PECAM1	0.024512256128064
chr13	HTR2A	LINC00561	0.0242621310655328
chr19	GSK3A	KCNN4	0.0242621310655328
chr19	ATP8B3	MAMSTR	0.0242621310655328
chr5	MYOZ3	GABRP	0.0240120060030015
chr9	LOC100128361	WDR5	0.0240120060030015
chr11	ARAP1	LOC101929089	0.0237618809404702
chr12	FOXM1	PYM1	0.0237618809404702
chr19	HAPLN4	LGALS17A	0.0237618809404702
chr2	FSHR	IDH1-AS1	0.023511755877939
chr6	OR10C1	ACAT2	0.023511755877939
chr18	CLUL1	TXNDC2	0.0232616308154077
chr19	LOC101928844	RABAC1	0.0232616308154077
chr9	SURF6	LOC651337	0.0232616308154077
chr12	C12orf4	ZNF664-RFLNA	0.0227613806903452
chr15	MAPK6	NEDD4	0.0227613806903452
chr18	SS18	MAPK4	0.0227613806903452
chr18	SETBP1	ADNP2	0.0227613806903452
chr4	SLC2A9	IL15	0.0227613806903452
chr13	SPART	LINC00358	0.0225112556278139
chr6	ZNF311	LOC101929460	0.0225112556278139
chr13	BRCA2	HTR2A	0.0222611305652826
chr21	SOD1	PRMT2	0.0222611305652826
chr3	NGLY1	DNAJB11	0.0222611305652826
chr5	LINC02104	NR2F1	0.0222611305652826
chr5	ADGRV1	RACK1	0.0222611305652826
chr14	KLHDC2	OTX2	0.0220110055027514
chr16	COG4	LOC283922	0.0220110055027514
chr20	SCRT2	RASSF2	0.0220110055027514
chr4	LINC02353	MTHFD2L	0.0220110055027514
chr11	CARS1	LINC01537	0.0217608804402201
chr18	LINC00470	DIPK1C	0.0217608804402201
chr3	VEPH1	LINC02053	0.0217608804402201
chr20	BANF2	NKILA	0.0215107553776888
chr10	CRTAC1	ABCC2	0.0212606303151576
chr2	LOC101929532	STK17B	0.0212606303151576
chr11	PC	LOC101929295	0.0210105052526263
chr3	KALRN	EIF4G1	0.020760380190095
chr10	ASAH2	PLEKHS1	0.0205102551275638
chr15	MTMR10	IGDCC4	0.0202601300650325
chr16	FLYWCH1	LINC02180	0.0202601300650325
chr3	TMEM212	RUBCN	0.0202601300650325
chr19	ZNF433-AS1	TM6SF2	0.0200100050025013
chr3	FOXP1-AS1	PDZRN3	0.0200100050025013
chr4	LOC93622	HSD17B11	0.0200100050025013
chr7	CCZ1B	AOAH	0.0200100050025013
chr9	ROR2	RGS3	0.0200100050025013
chr14	TTC6	VASH1-AS1	0.01975987993997
chr3	SEC13	ADIPOQ-AS1	0.01975987993997
chr10	TMEM254	LOC728158	0.0195097548774387
chr17	PDE6G	HGS	0.0195097548774387
chr7	TMEM196	DYNC1I1	0.0195097548774387
chr12	CACNA1C-AS2	CACNB3	0.0192596298149075
chr15	ARHGAP11B	LINC02352	0.0192596298149075
chr9	LINC01242	LHX3	0.0192596298149075
chr2	SLC20A1	LINC01880	0.0190095047523762
chr8	POLB	GDF6	0.0190095047523762
chr12	AMN1	VPS29	0.0187593796898449
chr13	RUBCNL	LOC100129307	0.0187593796898449
chr2	LINC02612	RAPGEF4	0.0187593796898449
chr20	STK4	CSE1L	0.0187593796898449
chr10	NRBF2	PLCE1-AS2	0.0185092546273137
chr14	GEMIN2	SLIRP	0.0185092546273137
chr21	C21orf91-OT1	TSPEAR	0.0185092546273137
chr22	HPS4	PATZ1	0.0185092546273137
chr7	C7orf65	GSAP	0.0185092546273137
chr3	FSTL1	EEFSEC	0.0182591295647824
chr13	ANKRD26P3	GPC5	0.0180090045022511
chr17	CEP95	USH1G	0.0180090045022511
chr21	BRWD1	BACE2	0.0177588794397199
chr10	MLLT10	ZNF32-AS3	0.0175087543771886
chr14	KLHL33	PSME2	0.0175087543771886
chr15	CHRFAM7A	DENND4A	0.0175087543771886
chr18	LDLRAD4	LINC02864	0.0175087543771886
chr2	LINC01854	UGT1A4	0.0175087543771886
chr22	EWSR1	ODF3B	0.0175087543771886
chr7	HECW1	GRM3	0.0175087543771886
chr7	HECW1	PTPRZ1	0.0175087543771886
chr22	UPB1	CCDC117	0.0172586293146573
chr6	OR12D3	LOC105378068	0.0172586293146573
chr6	RPP40	HDDC2	0.0170085042521261
chr12	SLC15A5	NOC4L	0.0167583791895948
chr20	TGIF2-RAB5IF	ZFAS1	0.0167583791895948
chr19	RUVBL2	SBK3	0.0165082541270635
chr20	PAK5	SLC2A10	0.0165082541270635
chr13	IL17D	C1QTNF9B	0.0162581290645323
chr5	IL4	MFAP3	0.0162581290645323
chr17	DERL2	CDR2L	0.016008004002001
chr10	SFTA1P	SPOCK2	0.0157578789394697
chr15	SLC12A6	GABPB1-AS1	0.0157578789394697
chr21	UBASH3A	MCM3AP	0.0157578789394697
chr4	KIAA1109	TLR2	0.0157578789394697
chr10	LINC00708	LOC728158	0.0155077538769385
chr18	POLI	LINC01927	0.0155077538769385
chr20	MACROD2-AS1	LOC100128988	0.0155077538769385
chr20	CST9L	SRSF6	0.0155077538769385
chr8	KLHL38	FAM91A1	0.0155077538769385
chr14	OR4Q2	EGLN3	0.0152576288144072
chr18	METTL4	LINC01882	0.0152576288144072
chr18	LOC104968399	LINC01443	0.0152576288144072
chr19	ZNF433-AS1	FXYD7	0.0152576288144072
chr19	TM6SF2	FXYD7	0.0152576288144072
chr16	PHKG2	SNX20	0.0150075037518759
chr16	NPRL3	ZFP90	0.0150075037518759
chr18	SLC14A2	SERPINB11	0.0150075037518759
chr21	SAMSN1	LINC00160	0.0150075037518759
chr10	LINC02655	PSTK	0.0147573786893447
chr14	KTN1-AS1	ADAM20	0.0147573786893447
chr17	BIRC5	MRPL12	0.0147573786893447
chr7	ABCB4	KDM7A	0.0147573786893447
chr13	LRRC63	LINC00563	0.0145072536268134
chr13	CLYBL-AS1	PRECSIT	0.0145072536268134
chr17	C17orf107	LINC02210-CRHR1	0.0145072536268134
chr18	SNHG22	TCF4	0.0145072536268134
chr2	PSD4	GAL3ST2	0.0145072536268134
chr10	PBLD	FGFBP3	0.0142571285642821
chr15	APH1B	CFAP161	0.0142571285642821
chr21	KRTAP19-7	CBR3-AS1	0.0142571285642821
chr22	CRYBB2P1	WNT7B	0.0142571285642821
chr3	PPP4R2	CHMP2B	0.0142571285642821
chr7	KLHL7	COBL	0.0142571285642821
chr2	TTL	ACVR1	0.0140070035017509
chr21	LINC01674	ITGB2-AS1	0.0140070035017509
chr7	LHFPL3	NDUFA5	0.0140070035017509
chr11	SAA1	LOC101929208	0.0137568784392196
chr18	PIK3C3	LOC642484	0.0137568784392196
chr10	SVIL2P	PLCE1-AS2	0.0135067533766883
chr16	ERI2	CNEP1R1	0.0135067533766883
chr4	HTT	LOC729218	0.0135067533766883
chr16	BCL7C	TMED6	0.0132566283141571
chr18	PCAT18	OACYLP	0.0132566283141571
chr18	LINC02864	LINC01893	0.0132566283141571
chr20	LAMP5-AS1	LNCNEF	0.0132566283141571
chr22	TPTEP1	MPST	0.0132566283141571
chr6	PIP5K1P1	ZNF318	0.0132566283141571
chr8	BAG4	ADHFE1	0.0132566283141571
chr16	CASKIN1	MLST8	0.0130065032516258
chr17	CCDC144NL-AS1	LOC101927166	0.0130065032516258
chr2	OXER1	GKN1	0.0130065032516258
chr2	ATP6V1C2	FAM168B	0.0130065032516258
chr3	HGD	ANKRD18DP	0.0130065032516258
chr13	LINC00426	MED4	0.0127563781890945
chr6	OR12D3	FOXP4	0.0127563781890945
chr6	FOXP4	LOC105378068	0.0127563781890945
chr9	CBWD3	LCN10	0.0127563781890945
chr20	CHD6	SLC2A10	0.0125062531265633
chr22	DDTL	WNT7B	0.0125062531265633
chr3	FAM3D	HRG	0.0125062531265633
chr4	LINC01094	NAA11	0.0125062531265633
chr6	HCG9	LOC101929057	0.0125062531265633
chr6	KLHL31	ARMC2-AS1	0.012256128064032
chr15	EIF3J-DT	LINC02348	0.0120060030015008
chr18	GNAL	DSG3	0.0120060030015008
chr20	KIF3B	ZMYND8	0.0120060030015008
chr21	CLDN14	HMGN1	0.0120060030015008
chr3	LRRC2	HESX1	0.0120060030015008
chr3	RASSF1	CADM2-AS2	0.0120060030015008
chr16	VWA3A	GNAO1	0.0117558779389695
chr16	LCMT1-AS1	LINC02182	0.0117558779389695
chr20	SPATA25	PSMA7	0.0117558779389695
chr21	CYYR1-AS1	TRPM2	0.0117558779389695
chr3	LINC00692	GMPS	0.0117558779389695
chr4	LOC729558	TENM3-AS1	0.0117558779389695
chr6	LOC101927136	SYNCRIP	0.0117558779389695
chr6	TSPO2	ARMC2-AS1	0.0117558779389695
chr6	SYNCRIP	RNF146	0.0117558779389695
chr9	RFX3	SURF6	0.0117558779389695
chr11	B4GALNT4	RNF214	0.0115057528764382
chr15	PLA2G4F	LINC00052	0.0115057528764382
chr16	LOC643802	GOT2	0.0115057528764382
chr3	FAM3D	GNB4	0.0115057528764382
chr3	GNB4	HRG	0.0115057528764382
chr5	RGMB	RNF44	0.0115057528764382
chr13	EDNRB-AS1	DZIP1	0.011255627813907
chr20	SIRPA	DEFB116	0.011255627813907
chr21	GRIK1-AS1	LINC01547	0.011255627813907
chr22	CCT8L2	C22orf39	0.011255627813907
chr8	PPP1R42	MIR4472-1	0.011255627813907
chr12	GPRC5D-AS1	NUDT4P2	0.0110055027513757
chr14	KLHDC2	TECPR2	0.0110055027513757
chr16	BBS2	DYNC1LI2	0.0110055027513757
chr2	SEMA4C	KANSL1L-AS1	0.0110055027513757
chr21	LINC01549	LINC00479	0.0110055027513757
chr3	NXPE3	CPNE4	0.0110055027513757
chr5	LOC105374620	RNF145	0.0110055027513757
chr5	SAR1B	RNF145	0.0110055027513757
chr18	LOC104968399	SALL3	0.0107553776888444
chr21	KRTAP19-5	MORC3	0.0107553776888444
chr12	SCYL2	DNAH10	0.0105052526263132
chr13	CCDC168	LIG4	0.0105052526263132
chr13	ANKRD26P3	ARHGEF7	0.0105052526263132
chr18	HRH4	ZNF516-DT	0.0105052526263132
chr21	RIPK4	UMODL1	0.0105052526263132
chr3	CX3CR1	RAD54L2	0.0105052526263132
chr4	SORCS2	LINC01365	0.0105052526263132
chr9	ARPC5L	GOLGA1	0.0105052526263132
chr15	PWRN1	SCAND2P	0.0102551275637819
chr5	LINC01187	PDLIM7	0.0102551275637819
chr9	VLDLR-AS1	STOM	0.0102551275637819
chr11	KRT8P41	IPO7	0.0100050025012506
chr16	GNAO1	AFG3L1P	0.0100050025012506
chr19	LILRB3	EPN1	0.0100050025012506
chr21	LINC00114	TRPM2	0.0100050025012506
chr21	CLDN17	KRTAP10-8	0.0100050025012506
chr4	FAM53A	DDIT4L	0.0100050025012506
chr4	FGG	LINC01060	0.0100050025012506
chr6	RNGTT	MAS1	0.0100050025012506
chr17	P3H4	SMG8	0.00975487743871936
chr19	AKT2	SCAF1	0.00975487743871936
chr20	UBOX5-AS1	SLC12A5	0.00975487743871936
chr6	LOC101928540	SOGA3	0.00975487743871936
chr9	IGFBPL1	SLC25A25	0.00975487743871936
chr10	IDI2	ZFAND4	0.00950475237618809
chr10	UCMA	ACSM6	0.00950475237618809
chr13	PCDH9-AS4	LINC00561	0.00950475237618809
chr14	RTRAF	PPM1A	0.00950475237618809
chr15	CELF6	ISG20	0.00950475237618809
chr21	D21S2088E	COL6A2	0.00950475237618809
chr6	TRIM10	HLA-E	0.00950475237618809
chr6	PRR3	C6orf118	0.00950475237618809
chr7	TMEM196	OR2A25	0.00950475237618809
chr9	LURAP1L-AS1	DNAJA1	0.00950475237618809
chr9	LOC101927954	MUSK	0.00950475237618809
chr14	POLE2	ADAM20	0.00925462731365683
chr16	PRSS22	COG4	0.00925462731365683
chr21	LINC01549	ATP5PF	0.00925462731365683
chr21	LINC01549	LOC101930094	0.00925462731365683
chr11	BBS1	KCTD21	0.00900450225112556
chr13	RXFP2	DZIP1	0.00900450225112556
chr14	NOP9	SIVA1	0.00900450225112556
chr2	DPYSL5	ATP5MC3	0.00900450225112556
chr6	HCG22	VNN3	0.00900450225112556
chr13	SACS-AS1	MIPEP	0.0087543771885943
chr16	SNRNP25	GGA2	0.0087543771885943
chr17	OR1D2	TMUB2	0.0087543771885943
chr18	CABLES1	SERPINB2	0.0087543771885943
chr19	KLF2	ZNF628	0.0087543771885943
chr19	REX1BD	ZNF628	0.0087543771885943
chr2	LINC01814	SUPT7L	0.0087543771885943
chr20	DEFB129	LOC284788	0.0087543771885943
chr20	XRN2	RIPOR3	0.0087543771885943
chr21	LINC01549	LINC01697	0.0087543771885943
chr21	SETD4	PCBP3	0.0087543771885943
chr13	SUGT1	LINC00379	0.00850425212606303
chr19	TUBB4A	RETN	0.00850425212606303
chr19	TUBB4A	FPR3	0.00850425212606303
chr21	LINC01674	LINC00945	0.00850425212606303
chr21	LINC01549	LINC00323	0.00850425212606303
chr5	ELOVL7	NEURL1B	0.00850425212606303
chr6	CUTA	OPN5	0.00850425212606303
chr6	PRR3	ESR1	0.00850425212606303
chr7	FAM126A	OCM2	0.00850425212606303
chr22	CDC45	TRMT2A	0.00825412706353177
chr3	FAM3D	HPS3	0.00825412706353177
chr6	HCG15	LOC101929057	0.00825412706353177
chr8	BIN3	CNBD1	0.00825412706353177
chr17	ITGA2B	FAAP100	0.00825412706353176
chr19	FFAR3	MIR521-1	0.00825412706353176
chr3	TMPPE	TGM4	0.00825412706353176
chr8	LOC100128993	RNF170	0.00825412706353176
chr10	NODAL	R3HCC1L	0.0080040020010005
chr15	HIGD2B	CRABP1	0.0080040020010005
chr17	ITGA2B	DNAI2	0.0080040020010005
chr18	CCDC68	LINC02864	0.0080040020010005
chr19	ZNF223	BCAM	0.0080040020010005
chr2	LINC00309	LINC01143	0.0080040020010005
chr20	CST7	ZMYND8	0.0080040020010005
chr9	ZNF883	RGS3	0.0080040020010005
chr10	CHAT	PWWP2B	0.00775387693846923
chr15	LINC01852	USP3-AS1	0.00775387693846923
chr18	PIK3C3	LINC01478	0.00775387693846923
chr22	ZNF280B	LINC02556	0.00775387693846923
chr5	IL4	TMCO6	0.00775387693846923
chr5	TMCO6	MFAP3	0.00775387693846923
chr12	C1R	RMST	0.00750375187593797
chr13	LINC00367	USP12-AS2	0.00750375187593797
chr17	SHBG	PYCR1	0.00750375187593797
chr21	LINC01549	KRTAP8-1	0.00750375187593797
chr21	URB1	PAXBP1-AS1	0.00750375187593797
chr9	RGS3	CARD9	0.00750375187593797
chr12	LOC100128253	TAFA2	0.0072536268134067
chr12	FLJ12825	OAS2	0.0072536268134067
chr13	ANKRD20A9P	RNF17	0.0072536268134067
chr18	POTEC	C18orf25	0.0072536268134067
chr20	CRNKL1	DEFB115	0.0072536268134067
chr21	SIM2	TRPM2	0.0072536268134067
chr5	LINC02104	KLHL3	0.0072536268134067
chr9	GCNT1	LHX6	0.0072536268134067
chr18	NDC80	DYNAP	0.00700350175087544
chr19	LYPD4	KLK14	0.00700350175087544
chr22	ZNRF3-AS1	EFCAB6-AS1	0.00700350175087544
chr6	VIP	FNDC1	0.00700350175087544
chr18	SEH1L	LDLRAD4-AS1	0.00675337668834417
chr20	MGME1	CEP250	0.00675337668834417
chr21	BRWD1	UBASH3A	0.00675337668834417
chr3	LOC101928135	TMEM45A	0.00675337668834417
chr3	LOC101928135	MAP3K13	0.00675337668834417
chr8	SLC7A2	LOC100128993	0.00675337668834417
chr12	KRT6A	FZD10	0.00650325162581291
chr12	CDK2	LOC100130238	0.00650325162581291
chr18	MYL12A	LINC02864	0.00650325162581291
chr19	AXL	ZNF329	0.00650325162581291
chr20	SNX5	PTGIS	0.00650325162581291
chr20	EIF2S2	MHENCR	0.00650325162581291
chr21	KRTAP27-1	SYNJ1	0.00650325162581291
chr21	UMODL1	COL6A2	0.00650325162581291
chr4	NAAA	SCLT1	0.00650325162581291
chr14	REC8	ADAM20	0.00625312656328164
chr15	MYEF2	RPS27L	0.00625312656328164
chr16	GNG13	SRL	0.00625312656328164
chr16	LMF1	TERF2IP	0.00625312656328164
chr18	CETN1	EPB41L3	0.00625312656328164
chr18	TXNDC2	LINC01477	0.00625312656328164
chr22	RBFOX2	SMC1B	0.00625312656328164
chr22	ANKRD54	PLXNB2	0.00625312656328164
chr4	CSN1S2BP	LINC02483	0.00625312656328164
chr11	CELF1	GAL	0.00600300150075038
chr12	LINC02388	NAP1L1	0.00600300150075038
chr17	MLLT6	ITGA2B	0.00600300150075038
chr17	MLLT6	FAAP100	0.00600300150075038
chr18	ADCYAP1	PIAS2	0.00600300150075038
chr21	CRYZL1	LINC01423	0.00600300150075038
chr21	GET1-SH3BGR	LINC00163	0.00600300150075038
chr22	VPREB3	LINC01640	0.00600300150075038
chr4	OCIAD1	MCUB	0.00600300150075038
chr14	OR11H6	OTX2	0.00575287643821911
chr18	MIR3976HG	TMEM200C	0.00575287643821911
chr18	DSC3	MBD1	0.00575287643821911
chr18	SPIRE1	ST8SIA3	0.00575287643821911
chr18	LDLRAD4-AS1	LOC339298	0.00575287643821911
chr19	LRP3	ZNF233	0.00575287643821911
chr19	ZNF264	ZNF416	0.00575287643821911
chr5	OCLN	PCDHAC1	0.00575287643821911
chr12	KRT6C	DGKA	0.00550275137568784
chr19	WDR87BP	KASH5	0.00550275137568784
chr19	WDR87BP	FLT3LG	0.00550275137568784
chr20	UBOX5-AS1	PRNP	0.00550275137568784
chr21	BACE2	TRPM2	0.00550275137568784
chr22	ZMAT5	KLHDC7B	0.00550275137568784
chr12	C2CD5	CASC18	0.00525262631315658
chr18	ZNF519	TTC39C-AS1	0.00525262631315658
chr18	ZNF519	MBP	0.00525262631315658
chr20	LOC284788	CST4	0.00525262631315658
chr21	SAMSN1	LINC00945	0.00525262631315658
chr21	TRPM2	LOC101928796	0.00525262631315658
chr22	LOC100507599	MCAT	0.00525262631315658
chr5	EGFLAM-AS4	F2RL1	0.00525262631315658
chr6	OR12D3	TFAP2D	0.00525262631315658
chr18	LOC112577592	ANKRD62	0.00500250125062531
