gene	pip	chr
DNAJC16	0	1
AGMAT	0	1
DDI2	0	1
PLEKHM2	0	1
SLC25A34-AS1	0	1
FBLIM1	0	1
UQCRHL	0	1
FLJ37453	0	1
SPEN	0	1
ZBTB17	0.036	1
SRARP	0	1
HSPB7	0.00566666666666667	1
CLCNKA	0	1
CLCNKB	0	1
FAM131C	0	1
EPHA2	0	1
ARHGEF19	0	1
CPLANE2	0	1
FBXO42	0	1
SZRD1	0	1
SPATA21	0	1
NECAP2	0.0115	1
LINC01772	0	1
CROCCP3	0	1
LOC440570	0	1
ESPNP	0	1
MST1L	0	1
CROCC	0	1
MFAP2	0	1
ATP13A2	0	1
SDHB	0	1
PADI2	0	1
LINC02783	0	1
PADI1	0	1
PADI3	0	1
PADI4	0	1
PADI6	0	1
RCC2	0	1
ARHGEF10L	0	1
ACTL8	0	1
LINC01654	0	1
IGSF21	0	1
KLHDC7A	0	1
PAX7	0	1
TAS1R2	0	1
ALDH4A1	0.0966666666666667	1
IFFO2	0	1
UBR4	0	1
EMC1-AS1	0	1
EMC1	0	1
MRTO4	0	1
AKR7L	0	1
AKR7A3	0.0015	1
LOC100506730	0	1
AKR7A2	0.0753333333333333	1
SLC66A1	0	1
CAPZB	0	1
LOC105378614	0	1
MICOS10-NBL1	0	1
HTR6	0	1
TMCO4	0	1
RNF186	0	1
OTUD3	0	1
PLA2G2E	0	1
PLA2G2A	0	1
PLA2G5	0	1
PLA2G2D	0	1
PLA2G2F	0	1
LOC117779438	0	1
PLA2G2C	0	1
UBXN10	0	1
LINC01757	0	1
VWA5B1	0	1
LINC01141	0	1
CAMK2N1	0	1
MUL1	0	1
CDA	0.0191666666666667	1
PINK1	0	1
PINK1-AS	0	1
DDOST	0	1
KIF17	0	1
SH2D5	0	1
HP1BP3	0	1
EIF4G3	0	1
ECE1	0	1
ECE1-AS1	0	1
NBPF3	0.207	1
ALPL	0.0155	1
RAP1GAP	0	1
USP48	0	1
LDLRAD2	0	1
HSPG2	0.0818333333333333	1
CELA3B	0	1
CELA3A	0	1
LINC00339	0	1
CDC42	0	1
WNT4	0	1
MIR4418	0	1
ZBTB40	0	1
EPHA8	0.112666666666667	1
C1QC	0	1
C1QB	0.005	1
EPHB2	0	1
LACTBL1	0	1
KDM1A	0	1
LUZP1	0	1
HTR1D	0	1
LINC01355	0	1
HNRNPR	0	1
ZNF436	0	1
TCEA3	0	1
ASAP3	0	1
E2F2	0	1
LOC101928163	0	1
ID3	0	1
MDS2	0	1
RPL11	0	1
ELOA	0	1
ELOA-AS1	0	1
PITHD1	0	1
HMGCL	0	1
FUCA1	0	1
CNR2	0	1
SRSF10	0	1
MYOM3	0	1
IL22RA1	0.0601666666666667	1
IFNLR1	0	1
LINC02800	0	1
GRHL3	0	1
STPG1	0	1
NIPAL3	0.00116666666666667	1
RCAN3AS	0.126333333333333	1
RCAN3	0	1
NCMAP-DT	0.5	1
NCMAP	0	1
SRRM1	0.118666666666667	1
CLIC4	0	1
RUNX3	0	1
MIR4425	0	1
SYF2	0	1
RSRP1	0.264333333333333	1
TMEM50A	0	1
RHCE	0	1
MACO1	0.0736666666666667	1
LDLRAP1	0.0463333333333333	1
MAN1C1	0	1
SELENON	0	1
LOC646471	0	1
MTFR1L	0.0325	1
AUNIP	0	1
PAQR7	0	1
STMN1	0	1
PAFAH2	0	1
EXTL1	0	1
SLC30A2	0	1
TRIM63	0	1
PDIK1L	0	1
FAM110D	0	1
C1orf232	0	1
CNKSR1	0	1
CATSPER4	0.434166666666667	1
CEP85	0	1
UBXN11	0	1
CRYBG2	0	1
ZNF683	0	1
LIN28A	0	1
DHDDS	0	1
RPS6KA1	0	1
ARID1A	5e-04	1
PIGV	0	1
ZDHHC18	0	1
GPN2	0	1
GPATCH3	0	1
NR0B2	0	1
NUDC	0	1
KDF1	0	1
TENT5B	0	1
SLC9A1	0	1
WDTC1	0	1
TMEM222	0	1
ACTG1P20	0	1
SYTL1	0	1
MAP3K6	0	1
FCN3	0	1
CD164L2	0	1
GPR3	0	1
WASF2	0	1
AHDC1	0	1
FGR	0	1
LINC02574	0	1
IFI6	0	1
FAM76A	0	1
STX12	0	1
PPP1R8	0	1
THEMIS2	0	1
RPA2	0	1
SMPDL3B	0	1
XKR8	0	1
EYA3	0	1
PTAFR	0	1
DNAJC8	0	1
ATP5IF1	0	1
SESN2	0	1
MED18	0	1
PHACTR4	0	1
SNHG3	0	1
RCC1	0	1
TRNAU1AP	0	1
RAB42	0	1
TAF12	0.159166666666667	1
GMEB1	0	1
YTHDF2	0	1
OPRD1	0.0268333333333333	1
EPB41	0	1
TMEM200B	0	1
SRSF4	0	1
MECR	0	1
PTPRU	0	1
LINC01756	0	1
LINC01648	0	1
MATN1	0	1
MATN1-AS1	0	1
LAPTM5	0	1
LINC01778	0	1
SDC3	0	1
PUM1	0	1
NKAIN1	0	1
SNRNP40	0	1
ZCCHC17	0	1
FABP3	0	1
SERINC2	0	1
LDC1P	0	1
LINC01226	0	1
TINAGL1	0	1
HCRTR1	0	1
PEF1	0	1
COL16A1	0	1
ADGRB2	0	1
SPOCD1	0	1
PTP4A2	0	1
KHDRBS1	0	1
TMEM39B	0	1
KPNA6	0	1
TXLNA	0	1
TMEM234	0	1
EIF3I	0	1
MTMR9LP	0	1
LCK	0	1
HDAC1	0	1
BSDC1	0	1
ZBTB8B	0	1
ZBTB8A	0	1
ZBTB8OS	0	1
RBBP4	0	1
SYNC	0	1
KIAA1522	0	1
YARS1	0	1
S100PBP	0	1
FNDC5	0	1
HPCA	0	1
TMEM54	0	1
RNF19B	0	1
AK2	0.175833333333333	1
AZIN2	0	1
TRIM62	0	1
ZNF362	0	1
A3GALT2	0	1
PHC2	0	1
PHC2-AS1	0	1
ZSCAN20	0	1
CSMD2	0	1
CSMD2-AS1	0	1
C1orf94	0	1
GJB4	0	1
GJB3	0	1
GJA4	0	1
SMIM12	0.0193333333333333	1
DLGAP3	0	1
TMEM35B	0	1
ZMYM6	0	1
ZMYM1	0	1
SFPQ	0	1
ZMYM4	0	1
ZMYM4-AS1	0	1
KIAA0319L	0	1
NCDN	0	1
TFAP2E	0	1
PSMB2	0	1
C1orf216	0	1
CLSPN	0	1
AGO4	0	1
AGO1	0	1
AGO3	0	1
TEKT2	0	1
COL8A2	0	1
TRAPPC3	0	1
MAP7D1	0	1
THRAP3	0	1
SH3D21	0.0926666666666667	1
EVA1B	0	1
STK40	0	1
LSM10	0	1
OSCP1	0	1
MRPS15	0	1
CSF3R	0	1
GRIK3	0	1
LINC01137	0	1
ZC3H12A	0	1
MEAF6	0	1
SNIP1	0	1
DNALI1	0	1
GNL2	0	1
RSPO1	0	1
CDCA8	0	1
EPHA10	0	1
MANEAL	0	1
YRDC	0	1
MTF1	0	1
INPP5B	0	1
SF3A3	0.140666666666667	1
FHL3	0	1
UTP11	0	1
MIR3659HG	0	1
LINC01343	0	1
LINC01685	0	1
RRAGC	0	1
GJA9-MYCBP	0	1
GJA9	0	1
RHBDL2	0.302	1
AKIRIN1	0	1
NDUFS5	0	1
MACF1	0	1
KIAA0754	0	1
BMP8A	0	1
PPIEL	0.167666666666667	1
PABPC4	0	1
PABPC4-AS1	0	1
HEYL	0	1
NT5C1A	0	1
HPCAL4	0	1
PPIE	0	1
BMP8B	0	1
LOC101929536	0	1
TRIT1	0.0611666666666667	1
MYCL	0	1
MFSD2A	0.0118333333333333	1
CAP1	0	1
PPT1	0	1
RLF	0	1
TMCO2	0	1
ZMPSTE24	0	1
COL9A2	0	1
SMAP2	0	1
ZFP69B	0	1
ZFP69	0	1
EXO5	0	1
ZNF684	0	1
RIMS3	0	1
NFYC-AS1	0	1
NFYC	0	1
KCNQ4	0	1
CITED4	0	1
CTPS1	0	1
SLFNL1-AS1	0	1
SCMH1	0	1
FOXO6	0	1
EDN2	0	1
HIVEP3	0	1
GUCA2A	0.0601666666666667	1
FOXJ3	0	1
RIMKLA	0	1
ZMYND12	0	1
CCDC30	0	1
PPIH	0.112666666666667	1
YBX1	0	1
CLDN19	0	1
P3H1	0.0933333333333333	1
C1orf50	0	1
TMEM269-DT	0	1
TMEM269	0	1
SVBP	0	1
ERMAP	0	1
LOC339539	0	1
SLC2A1	0	1
SLC2A1-AS1	0	1
FAM183A	0	1
EBNA1BP2	0	1
CFAP57	0	1
TMEM125	0.1145	1
C1orf210	0	1
TIE1	0	1
MPL	0	1
CDC20	0	1
SZT2	0	1
PTPRF	0	1
KDM4A	0	1
KDM4A-AS1	0	1
ST3GAL3	0	1
ST3GAL3-AS1	0	1
ARTN	0	1
IPO13	0	1
ATP6V0B	0	1
B4GALT2	0	1
SLC6A9	0	1
KLF17	0	1
KLF18	0	1
DMAP1	0	1
ERI3-IT1	0.0138333333333333	1
ERI3	0	1
RNF220	0	1
TMEM53	0	1
ARMH1	0	1
RNU5F-1	0	1
RNU5D-1	0	1
KIF2C	0	1
RPS8	0	1
BTBD19	0	1
PTCH2	0	1
EIF2B3	0	1
HECTD3	0	1
UROD	0	1
ZSWIM5	0.07	1
MUTYH	0	1
TESK2	0.215666666666667	1
CCDC163	0	1
MMACHC	0	1
PRDX1	0	1
AKR1A1	0.055	1
NASP	0	1
CCDC17	0	1
GPBP1L1	0	1
IPP	0	1
MAST2	0	1
TSPAN1	0	1
POMGNT1	0	1
LURAP1	0	1
RAD54L	0	1
LRRC41	0	1
UQCRH	0	1
NSUN4	0	1
FAAH	0	1
FAAHP1	0	1
LINC01398	0	1
DMBX1	0	1
TMEM275	0	1
MKNK1-AS1	0	1
KNCN	0	1
MKNK1	0	1
MOB3C	0.126666666666667	1
ATPAF1	0	1
TEX38	0	1
EFCAB14-AS1	0	1
EFCAB14	0	1
CYP4B1	0	1
CYP4Z2P	0.0526666666666667	1
CYP4X1	0	1
CYP4Z1	0	1
CYP4A22	0	1
LINC00853	0	1
PDZK1IP1	0	1
TAL1	0.0551666666666667	1
STIL	0	1
CMPK1	0	1
LINC01389	0	1
TRABD2B	0	1
SKINT1L	0	1
SLC5A9	0	1
SPATA6	0	1
AGBL4	0	1
AGBL4-AS1	0	1
AGBL4-IT1	0	1
ELAVL4	0	1
DMRTA2	0	1
FAF1	0	1
C1orf185	0	1
LINC01562	0	1
RNF11	0	1
TTC39A	0	1
TTC39A-AS1	0	1
EPS15	0	1
CALR4P	0	1
OSBPL9	0	1
NRDC	0	1
RAB3B	0	1
TXNDC12	0	1
BTF3L4	0	1
ZFYVE9	0	1
CC2D1B	0	1
ORC1	0	1
PRPF38A	0	1
TUT4	0	1
GPX7	0	1
SHISAL2A	0	1
COA7	0	1
ZYG11B	0	1
ZYG11A	0	1
ECHDC2	0	1
SCP2	0	1
PODN	0.100166666666667	1
SLC1A7	0.0543333333333333	1
CPT2	0	1
MAGOH	0	1
LRP8	0	1
LINC01771	0	1
SLC25A3P1	0	1
DMRTB1	0	1
GLIS1	0	1
NDC1	0	1
YIPF1	0	1
DIO1	0	1
HSPB11	0	1
LRRC42	0	1
LDLRAD1	0	1
TMEM59	0	1
TCEANC2	0	1
CDCP2	0	1
CYB5RL	0	1
MRPL37	0	1
SSBP3	0	1
SSBP3-AS1	0	1
ACOT11	0	1
MROH7-TTC4	0	1
MROH7	0	1
PARS2	0	1
TTC22	0.00183333333333333	1
LEXM	0	1
DHCR24	0	1
TMEM61	0	1
BSND	0	1
PCSK9	0	1
USP24	0	1
MIR4422HG	0	1
LINC01753	0	1
LINC01755	0	1
PLPP3	0	1
LOC101929935	0	1
PRKAA2	0	1
FYB2	0	1
C8A	0	1
C8B	0	1
DAB1	0	1
TACSTD2	0	1
MYSM1	0	1
LINC01135	0	1
LINC01358	0	1
HSD52	0	1
FGGY	0.107333333333333	1
LOC101926944	0	1
HOOK1	0	1
CYP2J2	0	1
C1orf87	0	1
LINC01748	0	1
LOC101926964	0.0133333333333333	1
NFIA-AS2	0	1
NFIA	0.0863333333333333	1
NFIA-AS1	0	1
MGC34796	0	1
TM2D1	0.0155	1
PATJ	0	1
L1TD1	0	1
KANK4	0	1
USP1	0	1
DOCK7	0	1
ATG4C	0	1
LINC01739	0	1
LINC00466	0	1
FOXD3	0	1
ALG6	0	1
ITGB3BP	0	1
EFCAB7	0	1
PGM1	0	1
ROR1	0	1
ROR1-AS1	0.048	1
UBE2U	0	1
CACHD1	0	1
RAVER2	0	1
JAK1	0	1
LINC01359	0	1
AK4	0	1
DNAJC6	0	1
LEPROT	0	1
LEPR	0	1
PDE4B	0.190833333333333	1
PDE4B-AS1	0	1
SGIP1	0	1
TCTEX1D1	0	1
DNAI4	0	1
MIER1	0	1
SLC35D1	0	1
C1orf141	0	1
IL23R	0	1
IL12RB2	0	1
SERBP1	0	1
GNG12	0	1
GNG12-AS1	0	1
WLS	0	1
RPE65	0	1
DEPDC1	0	1
DEPDC1-AS1	0	1
LINC01707	0	1
LINC01758	0	1
LRRC7	0	1
LRRC40	0	1
SRSF11	0	1
ANKRD13C	0	1
HHLA3	0	1
CTH	0	1
LINC01788	0	1
PTGER3	0	1
ZRANB2-AS1	0	1
ZRANB2	0	1
ZRANB2-AS2	0	1
NEGR1	0	1
NEGR1-IT1	0	1
LINC01360	0	1
LINC02238	0	1
LRRIQ3	0	1
FPGT	0	1
FPGT-TNNI3K	0	1
ERICH3-AS1	0	1
ERICH3	0	1
CRYZ	0	1
TYW3	0	1
LHX8	0	1
SLC44A5	0	1
ACADM	0	1
RABGGTB	0	1
MSH4	0	1
ASB17	0	1
LOC101927342	0	1
ST6GALNAC3	0	1
LINC02567	0	1
ST6GALNAC5	0.0323333333333333	1
PIGK	0	1
AK5	0	1
ZZZ3	0	1
USP33	0	1
MIGA1	0	1
NEXN-AS1	0	1
NEXN	0.210666666666667	1
FUBP1	0.0408333333333333	1
DNAJB4	0	1
GIPC2	0	1
MGC27382	0	1
PTGFR	0	1
IFI44L	0	1
IFI44	0.0111666666666667	1
ADGRL4	0	1
LINC01781	0	1
ADGRL2	0	1
LOC101927434	0	1
LINC01362	0	1
LINC01725	0	1
TTLL7	0	1
PRKACB	0	1
SAMD13	0	1
UOX	0	1
DNASE2B	0	1
RPF1	0	1
GNG5	0	1
SPATA1	0	1
CTBS	0.0753333333333333	1
LINC01461	0.0203333333333333	1
LINC01555	0	1
SSX2IP	0	1
LPAR3	0	1
MCOLN2	0	1
MCOLN3	0	1
DNAI3	0	1
SYDE2	0	1
C1orf52	0	1
BCL10	0	1
DDAH1	0	1
CCN1	0	1
ZNHIT6	0.0253333333333333	1
COL24A1	0	1
ODF2L	0	1
CLCA2	0	1
CLCA1	0	1
CLCA4	0	1
CLCA4-AS1	0	1
SH3GLB1	0	1
SELENOF	0.0343333333333333	1
HS2ST1	0	1
LINC01140	0	1
LINC02801	0	1
LMO4	0	1
LINC01364	0	1
PKN2-AS1	0	1
PKN2	0	1
GTF2B	0	1
KYAT3	0	1
RBMXL1	0	1
GBP3	0	1
GBP1	0	1
GBP2	0	1
GBP7	0	1
GBP4	0	1
GBP5	0.0425	1
LOC729930	0	1
GBP6	0	1
GBP1P1	0	1
LRRC8B	0	1
LRRC8C-DT	0.042	1
LRRC8C	0	1
LRRC8D	0	1
GEMIN8P4	0	1
ZNF326	0	1
BARHL2	0	1
LINC02609	0	1
ZNF644	0.016	1
HFM1	0	1
CDC7	0	1
TGFBR3	0	1
BRDT	0	1
EPHX4	0	1
BTBD8	0	1
C1orf146	0	1
GLMN	0.130833333333333	1
RPAP2	0	1
GFI1	0	1
EVI5	0	1
DIPK1A	0	1
MTF2	0	1
TMED5	0	1
CCDC18	0	1
CCDC18-AS1	0	1
DR1	0	1
FNBP1L	0	1
BCAR3	0	1
BCAR3-AS1	0	1
MIG7	0	1
DNTTIP2	0	1
GCLM	0	1
ABCA4	0	1
ARHGAP29	0	1
ABCD3	0	1
F3	0.0183333333333333	1
SLC44A3-AS1	0	1
SLC44A3	0	1
CNN3	0	1
CNN3-DT	0	1
ALG14	0	1
ALG14-AS1	0	1
TLCD4	0	1
LOC101928118	0	1
LINC01760	0	1
LINC01761	0	1
LINC02607	0	1
LINC02790	0	1
LINC01787	0.075	1
PTBP2	0	1
DPYD	0	1
DPYD-AS1	0	1
LINC01930	0	1
MIR137HG	0	1
LINC01776	0	1
SNX7	0	1
PLPPR5	0	1
LOC100129620	0	1
PLPPR4	0	1
LINC01708	0	1
MIR548N	0	1
PALMD	0	1
FRRS1	0	1
AGL	0	1
SLC35A3	0	1
MFSD14A	0	1
SASS6	0	1
TRMT13	0	1
LRRC39	0	1
DBT	0	1
RTCA	0	1
CDC14A	0	1
GPR88	0	1
LINC01349	0	1
VCAM1	0	1
EXTL2	0	1
SLC30A7	0	1
DPH5	0	1
LOC102606465	0	1
S1PR1	0	1
LINC01307	0	1
OLFM3	0	1
DNAJA1P5	0	1
COL11A1	0	1
LOC101928436	0	1
RNPC3	0	1
AMY2B	0	1
AMY2A	0.0275	1
LOC100129138	0	1
LINC01676	0	1
LINC01677	0	1
LINC01661	0.0478333333333333	1
NTNG1	0	1
VAV3	0	1
VAV3-AS1	0	1
SLC25A24	0	1
NBPF4	0	1
NBPF6	0	1
FAM102B	0.06	1
HENMT1	0	1
PRPF38B	0	1
FNDC7	0	1
STXBP3	0	1
AKNAD1	0	1
GPSM2	0.155666666666667	1
CLCC1	0	1
WDR47	0	1
TAF13	0	1
TMEM167B	0	1
C1orf194	0	1
ELAPOR1	0	1
SARS1	0	1
CELSR2	0	1
PSRC1	0	1
MYBPHL	0	1
SORT1	0	1
PSMA5	0	1
SYPL2	0	1
ATXN7L2	0	1
CYB561D1	0	1
GPR61	0	1
GNAI3	0	1
GNAT2	0	1
AMPD2	0.0436666666666667	1
GSTM4	0	1
GSTM2	0	1
GSTM5	0	1
GSTM3	0	1
EPS8L3	0.0403333333333333	1
CSF1	0	1
AHCYL1	0	1
STRIP1	0	1
ALX3	0	1
LINC01397	0	1
SLC6A17	0	1
LINC02586	0.0743333333333333	1
KCNC4	0	1
RBM15-AS1	0	1
RBM15	0	1
SLC16A4	0	1
LAMTOR5	0	1
LAMTOR5-AS1	0	1
PROK1	0	1
CYMP	0	1
CYMP-AS1	0	1
KCNA10	0	1
KCNA2	0	1
CD53	0	1
LRIF1	0	1
DRAM2	0	1
CEPT1	0	1
DENND2D	0	1
CHI3L2	0	1
CHIAP2	0	1
CHIA	0	1
PIFO	0	1
PGBP	0	1
OVGP1	0	1
WDR77	0	1
ATP5PB	0	1
C1orf162	0.1175	1
TMIGD3	0	1
RAP1A	0	1
LINC01160	0	1
INKA2	0	1
INKA2-AS1	0	1
LOC101928718	0	1
DDX20	0	1
KCND3	0	1
LINC01750	0	1
CTTNBP2NL	0	1
WNT2B	0	1
ST7L	0	1
CAPZA1	0	1
MOV10	0	1
PPM1J	0	1
TAFA3	0	1
LINC01356	0	1
SLC16A1	0	1
SLC16A1-AS1	0.127	1
LRIG2-DT	0	1
LRIG2	0.0271666666666667	1
LOC643441	0	1
MAGI3	0	1
PHTF1	0	1
RSBN1	0	1
AP4B1-AS1	0	1
AP4B1	0	1
DCLRE1B	0	1
HIPK1-AS1	0	1
HIPK1	0	1
OLFML3	0	1
SYT6	0	1
TRIM33	0	1
BCAS2	0	1
DENND2C	0	1
AMPD1	0	1
NRAS	0	1
CSDE1	0	1
SYCP1	0	1
TSHB	0	1
TSPAN2	0	1
NGF-AS1	0	1
VANGL1	0	1
CASQ2	0	1
NHLH2	0	1
LINC01649	0	1
LOC101928977	0	1
SLC22A15	0	1
MAB21L3	0	1
ATP1A1	0	1
ATP1A1-AS1	0	1
LINC01762	0	1
CD58	0	1
IGSF3	0	1
MIR320B1	0	1
LINC02868	0	1
CD2	0	1
PTGFRN	0	1
CD101	0	1
LOC101929099	0.281833333333333	1
TTF2	0.0575	1
TRIM45	0	1
VTCN1	0	1
LINC01525	0	1
MAN1A2	0	1
LOC100996263	0	1
TENT5C	0	1
GDAP2	0	1
WDR3	0	1
SPAG17	0	1
TBX15	0.0508333333333333	1
LOC105378933	0	1
WARS2	0	1
WARS2-IT1	0	1
WARS2-AS1	0	1
LINC01780	0	1
HAO2	0	1
HSD3B1	0	1
HSD3BP4	0	1
LINC00622	0	1
ZNF697	0	1
PHGDH	0	1
HMGCS2	0.184666666666667	1
REG4	0	1
NBPF7	0.0578333333333333	1
NOTCH2NLC	0	1
NOTCH2NLR	0	1
EMBP1	0	1
NBPF8	0	1
PDE4DIPP2	0	1
PDE4DIP	0	1
NBPF25P	0	1
NBPF19	0	1
LOC728989	0	1
RNVU1-8	0	1
NBPF13P	0	1
PRKAB2	0	1
CHD1L	0	1
LINC00624	0	1
BCL9	0.111833333333333	1
ACP6	0	1
PDZK1P1	0.0235	1
PDE4DIPP1	0	1
PDE4DIPP6	0	1
LOC100996740	0	1
H3P4	0	1
H2AC20	0	1
BOLA1	0	1
SV2A	0	1
SF3B4	0	1
MTMR11	0	1
OTUD7B	0	1
VPS45	0	1
PLEKHO1	0	1
LOC105371433	0.008	1
ANP32E	0.053	1
CA14	0	1
C1orf54	0	1
MRPS21	0	1
PRPF3	0	1
RPRD2	0	1
TARS2	0	1
ECM1	0.0966666666666667	1
FALEC	0	1
ADAMTSL4	0	1
ADAMTSL4-AS1	0	1
MCL1	0	1
ENSA	0	1
GOLPH3L	0	1
HORMAD1	0	1
CTSS	0	1
CTSK	0	1
ARNT	0	1
CTXND2	0	1
SETDB1	0	1
CERS2	0	1
ANXA9	0	1
MINDY1	0	1
PRUNE1	0	1
BNIPL	0	1
CDC42SE1	0	1
MLLT11	0	1
GABPB2	0	1
SEMA6C	0	1
TMOD4	0.0416666666666667	1
VPS72	0.03	1
PIP5K1A	0	1
PSMD4	0.0756666666666667	1
PI4KB	0	1
RFX5	0	1
SELENBP1	0	1
PSMB4	0	1
POGZ	0	1
CGN	0	1
TUFT1	0	1
SNX27	0	1
CELF3	0	1
RIIAD1	0	1
OAZ3	0.0221666666666667	1
TDRKH	0	1
TDRKH-AS1	0	1
LINGO4	0	1
RORC	0	1
C2CD4D-AS1	0	1
THEM4	0	1
S100A10	0	1
NBPF18P	0	1
S100A11	0	1
TCHHL1	0	1
TCHH	0.0085	1
RPTN	0	1
HRNR	0.0133333333333333	1
FLG	0	1
FLG-AS1	0	1
FLG2	0	1
LCE5A	0	1
CRCT1	0	1
LCE3E	0	1
LCE3D	0	1
LINC00302	0	1
LCE2C	0	1
C1orf68	0	1
KPRP	0	1
LCE1E	0	1
LCE1C	0	1
LCE1B	0	1
LCE6A	0	1
SMCP	0	1
IVL	0	1
SPRR4	0	1
SPRR1A	0	1
SPRR3	0	1
SPRR1B	0	1
SPRR2D	0	1
SPRR2E	0	1
SPRR2F	0	1
SPRR2C	0	1
LOC101928009	0	1
LELP1	0	1
LORICRIN	0	1
PGLYRP3	0.1295	1
PGLYRP4	0	1
S100A9	0	1
S100A12	0	1
S100A8	0.438833333333333	1
S100A7A	0	1
S100A7	0	1
S100A5	0	1
LOC101928034	0	1
S100A2	0	1
S100A16	0	1
S100A13	0	1
CHTOP	0	1
ILF2	0	1
INTS3	0	1
SLC27A3	0	1
LOC343052	0	1
GATAD2B	0.00833333333333333	1
DENND4B	0	1
CRTC2	0	1
SLC39A1	0	1
RPS27	0	1
NUP210L	0	1
TPM3	0	1
MIR190B	0	1
C1orf189	0	1
