chr	gene	PIP
chr22	ATXN10	0.400950475237619
chr19	GATAD2A	0.38744372186093
chr4	SLAIN2	0.386693346673337
chr8	LRRC14	0.384442221110555
chr22	PNPLA5	0.383691845922961
chr19	ZNF223	0.382941470735368
chr3	TMEM212	0.381190595297649
chr2	LINC01237	0.380440220110055
chr10	R3HCC1L	0.380190095047524
chr21	LINC01549	0.37543771885943
chr9	CLTA	0.372686343171586
chr15	ISG20	0.370435217608804
chr9	LHX3	0.370185092546273
chr14	LINC00221	0.366433216608304
chr11	GLYATL1	0.360680340170085
chr22	TRMT2A	0.358929464732366
chr18	TXNDC2	0.355927963981991
chr9	RGS3	0.355427713856928
chr17	PHF12	0.351675837918959
chr10	PLCE1-AS2	0.350675337668834
chr14	LGMN	0.349674837418709
chr2	AFTPH	0.347173586793397
chr5	CAMK2A	0.345422711355678
chr11	FAM111A-DT	0.344672336168084
chr19	BCAM	0.34392196098049
chr2	MARCO	0.34392196098049
chr19	EPHX3	0.34192096048024
chr21	LINC01697	0.341420710355178
chr20	LINC01427	0.334917458729365
chr7	MPP6	0.334167083541771
chr11	C11orf45	0.331415707853927
chr5	LINC01948	0.331415707853927
chr9	MUSK	0.331415707853927
chr14	ADAM20	0.329914957478739
chr5	RNF44	0.329914957478739
chr12	PHB2	0.328914457228614
chr18	HSBP1L1	0.328664332166083
chr9	LOC100128361	0.327413706853427
chr7	DPY19L2P2	0.325912956478239
chr9	FAM166A	0.325412706353177
chr18	NEDD4L	0.324912456228114
chr5	HAND1	0.324412206103052
chr19	ASPDH	0.323661830915458
chr14	KLHDC2	0.321660830415208
chr8	PRDM14	0.317658829414707
chr14	POLE2	0.316908454227114
chr18	TTR	0.31615807903952
chr3	ANKRD18DP	0.315907953976989
chr9	ALAD	0.313906953476738
chr22	MCM5	0.312656328164082
chr19	KLK12	0.311655827913957
chr3	NXPE3	0.310905452726363
chr7	SEMA3C	0.303651825912956
chr3	SSUH2	0.303401700850425
chr21	TRPM2-AS	0.3024012006003
chr9	WHRN	0.301400700350175
chr9	SURF6	0.300150075037519
chr9	PHF2	0.299649824912456
chr5	LINC02104	0.298649324662331
chr4	FGG	0.296648324162081
chr13	SACS-AS1	0.290395197598799
chr17	COIL	0.290395197598799
chr2	SILC1	0.289894947473737
chr20	ZMYND8	0.289644822411206
chr2	AMMECR1L	0.287143571785893
chr22	C22orf39	0.28664332166083
chr2	EDAR	0.285892946473237
chr2	KCNJ3	0.283641820910455
chr2	VWC2L-IT1	0.283641820910455
chr18	LOC112577592	0.282391195597799
chr21	ZNF295-AS1	0.282141070535268
chr7	ALKBH4	0.280140070035018
chr11	CRYAB	0.27863931965983
chr3	KAT2B	0.27863931965983
chr16	KCTD19	0.277888944472236
chr17	DERL2	0.277138569284642
chr10	FRA10AC1	0.27663831915958
chr12	SRRM4	0.27663831915958
chr7	BUD31	0.27663831915958
chr6	ADGRF2	0.275637818909455
chr6	SIRT5	0.275387693846923
chr12	PRR13	0.275137568784392
chr19	CEACAM21	0.273136568284142
chr3	GALNT15	0.273136568284142
chr6	BRD7P3	0.273136568284142
chr16	PLLP	0.272886443221611
chr3	ADIPOQ-AS1	0.271635817908954
chr5	TMCO6	0.271635817908954
chr14	CHD8	0.271135567783892
chr13	LIG4	0.269884942471236
chr14	SUPT16H	0.269384692346173
chr4	LINC02275	0.267383691845923
chr19	TGFBR3L	0.264632316158079
chr22	SEZ6L	0.262381190595298
chr7	RADIL	0.261380690345173
chr11	FADD	0.26088044022011
chr17	AXIN2	0.260130065032516
chr7	ABCB4	0.259879939969985
chr14	PRIMA1	0.258379189594797
chr4	FRG1-DT	0.257878939469735
chr10	ATP5F1C	0.257128564282141
chr13	LINC00621	0.25687843921961
chr5	SQSTM1	0.256628314157079
chr14	EIF2S1	0.255127563781891
chr15	AQR	0.25487743871936
chr5	ZFP2	0.253876938469235
chr8	CNBD1	0.252376188094047
chr15	SLC28A1	0.251375687843922
chr21	BRWD1	0.251375687843922
chr11	IFITM5	0.249124562281141
chr3	UC.134	0.248624312156078
chr11	MRGPRE	0.248124062031016
chr12	PXMP2	0.247373686843422
chr3	TGM4	0.246373186593297
chr21	CBR3-AS1	0.246123061530765
chr11	LINC02545	0.242621310655328
chr19	KLF2	0.242621310655328
chr13	LINC00383	0.242371185592796
chr11	TSPAN18	0.241620810405203
chr7	ELMO1-AS1	0.241620810405203
chr18	LINC02864	0.240870435217609
chr8	NRG1	0.240870435217609
chr17	ITGA2B	0.240620310155078
chr4	NWD2	0.240620310155078
chr19	TUBB4A	0.239369684842421
chr17	GIT1	0.23911955977989
chr8	TRIM35	0.23911955977989
chr8	COL14A1	0.238619309654827
chr15	CCNDBP1	0.238369184592296
chr21	CYYR1-AS1	0.238369184592296
chr15	MIR4712	0.237868934467234
chr15	PEAK1	0.237868934467234
chr10	LINC00708	0.237618809404702
chr13	LINC00564	0.236868434217109
chr5	CKMT2	0.236368184092046
chr4	UCP1	0.234617308654327
chr6	OR12D3	0.234617308654327
chr14	ACYP1	0.234117058529265
chr16	GDE1	0.232366183091546
chr22	CLTCL1	0.232366183091546
chr18	OACYLP	0.232116058029014
chr5	IL4	0.232116058029014
chr4	SPINK2	0.231865932966483
chr11	FTH1	0.230865432716358
chr12	TAS2R7	0.230865432716358
chr19	ZNF749	0.229864932466233
chr2	CDCA7	0.229614807403702
chr21	PFKL	0.229614807403702
chr19	LILRA1	0.228864432216108
chr11	CAND1.11	0.228364182091046
chr4	KIAA1109	0.226863431715858
chr13	LOC100129307	0.226363181590795
chr20	C20orf96	0.225862931465733
chr19	AP3D1	0.225612806403202
chr20	CST4	0.225612806403202
chr7	ZNF273	0.225112556278139
chr9	ZFAND5	0.224362181090545
chr9	LINC00475	0.224362181090545
chr17	P3H4	0.223861930965483
chr17	CRHR1	0.22336168084042
chr6	SAMD3	0.223111555777889
chr11	PLAAT4	0.222861430715358
chr5	GIN1	0.222361180590295
chr20	LOC284788	0.222111055527764
chr17	PRAC1	0.22136068034017
chr19	SLC7A10	0.22136068034017
chr2	PIGF	0.220860430215108
chr18	OSBPL1A	0.220610305152576
chr9	PRRT1B	0.220610305152576
chr17	LPO	0.219859929964982
chr2	COMMD1	0.219859929964982
chr6	GCLC	0.219859929964982
chr3	LINC00692	0.219609804902451
chr12	PRANCR	0.218859429714857
chr3	GOLGA4	0.218359179589795
chr16	SNRNP25	0.217608804402201
chr4	LOC105374428	0.216858429214607
chr7	COA1	0.216358179089545
chr6	HCG24	0.21535767883942
chr2	CAPN10	0.215107553776888
chr9	LOC105376306	0.215107553776888
chr10	SLC16A12	0.214107053526763
chr9	AKNA	0.213606803401701
chr3	ZNF385D-AS2	0.21335667833917
chr7	AOC1	0.21335667833917
chr16	PHKG2	0.213106553276638
chr2	NEURL3	0.212356178089045
chr3	SETD5	0.212356178089045
chr10	TIAL1	0.212106053026513
chr18	RAB31	0.210855427713857
chr2	TXNDC9	0.210855427713857
chr8	TOX	0.210855427713857
chr15	MYEF2	0.210355177588794
chr18	LOC104968399	0.210355177588794
chr6	PPP1R10	0.209354677338669
chr19	ZNF14	0.208854427213607
chr16	MEFV	0.208604302151076
chr21	LINC00945	0.207853926963482
chr12	C1R	0.207103551775888
chr5	RNF180	0.207103551775888
chr6	LOC105378068	0.206103051525763
chr12	CLEC12A	0.205852926463232
chr13	LINC01065	0.2056028014007
chr11	TMEM151A	0.205352676338169
chr4	CCDC149	0.205352676338169
chr3	FOXP1-AS1	0.204852426213107
chr6	MCCD1	0.204602301150575
chr11	GAL	0.204102051025513
chr11	TMEM109	0.203851925962981
chr22	DDTL	0.203851925962981
chr20	C20orf204	0.203351675837919
chr8	LOC105379331	0.203351675837919
chr11	LOC101929295	0.203101550775388
chr6	PIM1	0.203101550775388
chr19	C19orf12	0.201850925462731
chr11	KCNE3	0.2016008004002
chr15	CIB2	0.201100550275138
chr15	SAXO2	0.200850425212606
chr21	KRTAP19-7	0.200600300150075
chr9	PPP1R26	0.200600300150075
chr12	CACNA2D4	0.200100050025012
chr12	GDF3	0.199849924962481
chr15	LINC02256	0.199849924962481
chr17	USH1G	0.199349674837419
chr7	GRM3	0.199349674837419
chr10	SNORD3J	0.198099049524762
chr4	UGT2B7	0.198099049524762
chr19	EPN1	0.197348674337169
chr13	HTR2A	0.197098549274637
chr8	XPO7	0.197098549274637
chr18	MYL12A	0.196848424212106
chr19	SLC25A41	0.196848424212106
chr19	CD37	0.196348174087044
chr3	H1-10	0.196098049024512
chr8	MIR596	0.196098049024512
chr4	PLAC8	0.195847923961981
chr2	ALKAL2	0.19559779889945
chr7	STX1A	0.19559779889945
chr19	ZNF283	0.195347673836918
chr2	MIR4430	0.195347673836918
chr18	CCBE1	0.194847423711856
chr19	ZNF233	0.194847423711856
chr19	GMFG	0.194597298649325
chr2	LINC01126	0.194347173586793
chr9	MIR4478	0.194347173586793
chr10	SEMA4G	0.1935967983992
chr18	METTL4	0.1935967983992
chr7	LINC01392	0.1935967983992
chr4	NAA11	0.192596298149075
chr13	DNAJC15	0.192346173086543
chr16	CYBA	0.192096048024012
chr22	POM121L10P	0.192096048024012
chr17	CCL5	0.191595797898949
chr14	DHRS1	0.190845422711356
chr19	LILRA3	0.190845422711356
chr16	COG4	0.189844922461231
chr12	DNAH10	0.189594797398699
chr2	PARD3B	0.189594797398699
chr3	FAM3D	0.188844422211106
chr6	LINC00581	0.188594297148574
chr3	PPP4R2	0.188344172086043
chr5	CARD6	0.188344172086043
chr4	CEP44	0.18784392196098
chr7	LHFPL3	0.18784392196098
chr19	SCGB1B2P	0.187593796898449
chr20	SNX5	0.187593796898449
chr8	SAMD12	0.187343671835918
chr19	ZNF99	0.186593296648324
chr21	LINC01671	0.186093046523262
chr6	LOC101928540	0.18584292146073
chr12	CRY1	0.184842421210605
chr17	CD300LD	0.184342171085543
chr21	LINC00334	0.184342171085543
chr11	BBS1	0.18384192096048
chr18	LINC01477	0.18384192096048
chr2	LINC01819	0.183091545772886
chr20	RASSF2	0.182841420710355
chr9	MIR4291	0.182341170585293
chr14	DLK1	0.18184092046023
chr6	LINC01277	0.18184092046023
chr8	GDAP1	0.18184092046023
chr19	ZNF676	0.181590795397699
chr12	TRAFD1	0.181090545272636
chr17	MCRIP1	0.181090545272636
chr7	CCZ1B	0.180590295147574
chr20	APCDD1L-DT	0.180090045022511
chr5	SIMC1	0.180090045022511
chr19	LOC101928844	0.17983991995998
chr7	YKT6	0.17983991995998
chr17	SHISA6	0.179339669834917
chr7	PRSS58	0.179339669834917
chr16	PIGQ	0.179089544772386
chr18	AQP4-AS1	0.178839419709855
chr4	LINC02273	0.178839419709855
chr4	SORBS2	0.178839419709855
chr5	PRELID1	0.178839419709855
chr16	PABPN1L	0.17783891945973
chr14	LINC00523	0.177588794397199
chr6	PTK7	0.177588794397199
chr10	DUSP13	0.177338669334667
chr14	GEMIN2	0.177338669334667
chr2	LINC01854	0.177338669334667
chr11	OR4C46	0.177088544272136
chr13	LOC101928841	0.177088544272136
chr6	RPS12	0.177088544272136
chr13	LINC00367	0.176838419209605
chr15	BTBD1	0.176588294147074
chr15	GOLGA8K	0.176338169084542
chr6	RRAGD	0.176338169084542
chr7	CAV2	0.176338169084542
chr10	LINC02650	0.175587793896948
chr7	CYP3A7-CYP3A51P	0.175337668834417
chr10	ASAH2	0.175087543771886
chr15	LINC02352	0.175087543771886
chr21	TMPRSS15	0.174837418709355
chr5	CDC23	0.174837418709355
chr6	LOC101929705	0.174837418709355
chr4	ENPEP	0.174337168584292
chr19	SBK3	0.17383691845923
chr17	ZBTB4	0.173086543271636
chr19	ZNF415	0.173086543271636
chr8	ARHGEF10	0.172836418209105
chr22	EIF3D	0.172086043021511
chr12	ANKRD33	0.171835917958979
chr17	TAOK1	0.171835917958979
chr22	CYTH4	0.171835917958979
chr6	CUTA	0.171835917958979
chr15	TMEM87A	0.171585792896448
chr10	NDST2	0.171085542771386
chr17	OR3A3	0.171085542771386
chr2	GAREM2	0.171085542771386
chr5	LINC02213	0.170585292646323
chr10	LOC105378311	0.170085042521261
chr7	OCM2	0.170085042521261
chr11	VSIG2	0.169584792396198
chr13	TPT1-AS1	0.169334667333667
chr19	LGALS17A	0.169334667333667
chr5	EGFLAM	0.169334667333667
chr16	LRRC29	0.169084542271136
chr17	CD68	0.169084542271136
chr21	CLDN8	0.169084542271136
chr15	CLN6	0.168334167083542
chr8	CPA6	0.168084042021011
chr14	PAPLN	0.167833916958479
chr13	TM9SF2	0.167583791895948
chr10	ALDH18A1	0.167333666833417
chr13	ITM2B	0.167333666833417
chr8	ZNF7	0.167333666833417
chr15	IGF1R	0.167083541770885
chr3	CX3CR1	0.167083541770885
chr22	CHCHD10	0.166333166583292
chr8	PDE7A	0.166333166583292
chr10	ABCC2	0.16608304152076
chr4	LINC02513	0.16608304152076
chr17	DUS1L	0.165832916458229
chr5	NIM1K	0.165832916458229
chr4	PPAT	0.165582791395698
chr20	DEFB129	0.165332666333167
chr10	NRP1	0.164832416208104
chr11	XRRA1	0.164832416208104
chr16	ATMIN	0.164832416208104
chr20	TGM3	0.164832416208104
chr2	ACTR3-AS1	0.164582291145573
chr5	IRGM	0.164582291145573
chr2	DUSP11	0.164332166083042
chr9	PTAR1	0.164332166083042
chr12	CLEC4E	0.16408204102051
chr14	CATSPERB	0.16408204102051
chr3	ABHD10	0.163831915957979
chr17	OSBPL7	0.163331665832916
chr2	ANAPC1P6	0.163331665832916
chr5	HNRNPH1	0.163331665832916
chr4	UNC5C	0.163081540770385
chr3	GTF2E1	0.162581290645323
chr4	PI4K2B	0.161330665332666
chr11	ARAP1	0.161080540270135
chr6	LOC101928661	0.161080540270135
chr7	ATP6V0E2	0.161080540270135
chr17	SLFN11	0.160830415207604
chr18	LINC01893	0.160830415207604
chr8	DEFA4	0.160830415207604
chr17	RNF227	0.160580290145073
chr22	PI4KAP2	0.160580290145073
chr12	TMEM19	0.159829914957479
chr14	SIVA1	0.159829914957479
chr8	GINS4	0.159829914957479
chr11	LINC02551	0.159579789894947
chr2	RAB6C-AS1	0.159579789894947
chr14	DHRS4-AS1	0.159329664832416
chr3	CCNL1	0.159329664832416
chr6	AGER	0.159329664832416
chr10	NRBF2	0.159079539769885
chr11	ADAMTS15	0.158829414707354
chr15	BNIP2	0.158829414707354
chr2	SPC25	0.158829414707354
chr10	CEP55	0.158329164582291
chr8	LOC100132813	0.15807903951976
chr13	LHFPL6	0.157578789394697
chr10	CDK1	0.157328664332166
chr22	MRPL40	0.157328664332166
chr12	DUSP16	0.157078539269635
chr4	HSD17B11	0.157078539269635
chr5	HRH2	0.156828414207104
chr6	AGPAT4	0.156578289144572
chr6	FNDC1	0.15607803901951
chr2	WDPCP	0.155327663831916
chr18	TYMSOS	0.155077538769385
chr2	CERS6-AS1	0.155077538769385
chr11	CDON	0.154577288644322
chr21	KRTAP10-3	0.154577288644322
chr3	TGFBR2	0.154327163581791
chr13	STK24	0.15407703851926
chr18	LINC00908	0.153826913456728
chr2	GACAT3	0.153826913456728
chr21	UBASH3A	0.153826913456728
chr9	FAM122A	0.153576788394197
chr12	NAP1L1	0.153326663331666
chr10	OTUD1	0.153076538269135
chr2	LOC100505774	0.153076538269135
chr10	LOC728158	0.152826413206603
chr21	GET1-SH3BGR	0.152826413206603
chr9	EBLN3P	0.152826413206603
chr13	ANKRD20A9P	0.152576288144072
chr2	LINC01810	0.152576288144072
chr11	PAMR1	0.152326163081541
chr16	METTL9	0.152326163081541
chr15	COMMD4	0.15207603801901
chr16	ELOB	0.151075537768884
chr9	CARD9	0.151075537768884
chr18	TTC39C-AS1	0.150825412706353
chr2	CCDC88A	0.150825412706353
chr2	CCL20	0.150825412706353
chr7	MINDY4	0.150825412706353
chr13	LMO7-AS1	0.150575287643822
chr4	CIBAR1P2	0.150575287643822
chr7	ARPC1B	0.150325162581291
chr7	LHFPL3-AS2	0.150325162581291
chr6	LOC101927136	0.150075037518759
chr16	TFAP4	0.149824912456228
chr16	GNAO1	0.149824912456228
chr18	DLGAP1-AS2	0.149824912456228
chr20	COL20A1	0.149824912456228
chr7	RP9	0.149824912456228
chr10	ZEB1-AS1	0.149324662331166
chr11	ZBED5-AS1	0.149324662331166
chr15	IQGAP1	0.149324662331166
chr16	PRSS22	0.149324662331166
chr16	DYNC1LI2	0.149324662331166
chr4	ANXA3	0.149324662331166
chr14	PPM1A	0.148824412206103
chr17	SHBG	0.148824412206103
chr21	COL6A2	0.148824412206103
chr14	PPP1R3E	0.148574287143572
chr17	STAT5B	0.148574287143572
chr6	ULBP3	0.148574287143572
chr9	ZNF79	0.148574287143572
chr16	TMED6	0.148324162081041
chr19	ZNF134	0.148324162081041
chr9	STOM	0.148324162081041
chr12	GTSF1	0.148074037018509
chr16	C16orf46	0.148074037018509
chr20	PTGIS	0.148074037018509
chr22	HPS4	0.148074037018509
chr13	LINC00363	0.147823911955978
chr9	SLC25A25	0.147823911955978
chr15	PPP1R14D	0.147323661830915
chr18	CTAGE1	0.147323661830915
chr2	RHOQ-AS1	0.147323661830915
chr2	CWC22	0.147073536768384
chr6	HDDC2	0.147073536768384
chr8	TNFRSF11B	0.147073536768384
chr8	RDH10	0.146823411705853
chr17	FAAP100	0.146073036518259
chr18	EMILIN2	0.146073036518259
chr18	SS18	0.146073036518259
chr21	CRYZL1	0.146073036518259
chr8	FUT10	0.145822911455728
chr10	LOC642361	0.145322661330665
chr20	ACSS1	0.145072536268134
chr2	LOC100129434	0.144822411205603
chr6	CAPN11	0.144822411205603
chr11	OSBP	0.144572286143072
chr11	RAB30-DT	0.144572286143072
chr7	PARP12	0.144572286143072
chr19	ZNF628	0.14432216108054
chr19	GSK3A	0.144072036018009
chr3	MASP1	0.144072036018009
chr4	PAPSS1	0.144072036018009
chr12	NFYB	0.143821910955478
chr20	MCM8	0.143821910955478
chr14	JDP2	0.143571785892946
chr11	LOC646029	0.143321660830415
chr17	ACADVL	0.143321660830415
chr2	CYBRD1	0.143321660830415
chr20	SLC2A10	0.143321660830415
chr13	LINC00412	0.143071535767884
chr13	RXFP2	0.143071535767884
chr17	ASB16	0.143071535767884
chr21	FTCD	0.143071535767884
chr6	C6orf118	0.143071535767884
chr16	NUP93	0.142821410705353
chr2	RNF25	0.142821410705353
chr6	TRIM10	0.142571285642821
chr10	TEX36-AS1	0.14232116058029
chr11	RNF214	0.14232116058029
chr19	LOC101928517	0.14232116058029
chr12	SLCO1B1	0.142071035517759
chr8	SGCZ	0.142071035517759
chr12	FLJ12825	0.141820910455228
chr8	CHRAC1	0.141820910455228
chr8	KLHL38	0.141070535267634
chr12	SLC17A8	0.140820410205103
chr16	DBNDD1	0.140570285142571
chr4	LINC01085	0.14032016008004
chr15	TYRO3	0.140070035017509
chr18	ZNF396	0.140070035017509
chr3	PLXNB1	0.140070035017509
chr19	EXOC3L2	0.139819909954977
chr5	PRR7-AS1	0.139819909954977
chr17	LINC02071	0.139569784892446
chr4	CDKN2AIP	0.139569784892446
chr11	MSANTD4	0.139319659829915
chr12	CACNB3	0.139319659829915
chr21	D21S2088E	0.139319659829915
chr6	FBXO30-DT	0.139069534767384
chr18	LINC01894	0.138819409704852
chr8	LY96	0.138569284642321
chr19	PLK5	0.138069034517259
chr4	HMGB2	0.138069034517259
chr14	LOC101927124	0.137818909454727
chr6	BVES-AS1	0.137818909454727
chr13	MLNR	0.137318659329665
chr12	KRT6A	0.136818409204602
chr14	RNASE11	0.136818409204602
chr6	RAET1K	0.136568284142071
chr10	INSYN2A	0.13631815907954
chr3	SATB1-AS1	0.13631815907954
chr11	GLYATL2	0.136068034017009
chr12	HPD	0.136068034017009
chr8	MIR4472-1	0.136068034017009
chr18	PIAS2	0.135567783891946
chr19	AZU1	0.135567783891946
chr9	LHX6	0.135567783891946
chr19	RETN	0.135317658829415
chr18	TPGS2	0.134567283641821
chr14	NPAS3	0.13431715857929
chr22	PVALB	0.13431715857929
chr9	CRB2	0.13431715857929
chr6	CENPQ	0.134067033516758
chr14	PSMA3-AS1	0.133816908454227
chr6	IBTK	0.133816908454227
chr7	ZNRF2P1	0.133816908454227
chr15	TCF12	0.133566783391696
chr22	RBFOX2	0.133566783391696
chr5	C5orf22	0.133566783391696
chr20	TP53INP2	0.133316658329165
chr8	RRS1-AS1	0.133316658329165
chr19	SYCE2	0.133066533266633
chr22	BPIFC	0.132816408204102
chr9	HMCN2	0.132816408204102
chr15	GOLM2	0.132566283141571
chr17	MYADML2	0.13231615807904
chr19	TYROBP	0.13231615807904
chr6	GRM1	0.13231615807904
chr4	SLC25A31	0.131815907953977
chr21	MIR99AHG	0.131565782891446
chr11	SBF2-AS1	0.131315657828914
chr11	SSRP1	0.131315657828914
chr20	CRNKL1	0.130815407703852
chr10	TRIM8	0.130565282641321
chr15	SMAD6	0.130565282641321
chr15	CFAP161	0.130565282641321
chr2	SRBD1	0.130565282641321
chr9	SUSD1	0.130315157578789
chr10	NRG3-AS1	0.130065032516258
chr14	LOC100506476	0.130065032516258
chr15	KLF13	0.130065032516258
chr6	PSMB9	0.129814907453727
chr6	EPHA7	0.129814907453727
chr9	LOC642943	0.129814907453727
chr17	ARRB2	0.129564782391196
chr3	HIGD1A	0.129564782391196
chr7	WASL	0.129314657328664
chr9	TPRN	0.129064532266133
chr12	TAC3	0.128814407203602
chr7	TYW1B	0.128814407203602
chr11	BACE1	0.128564282141071
chr11	LTBP3	0.128314157078539
chr3	CCDC58	0.128314157078539
chr8	JRK	0.128314157078539
chr16	ATP2C2	0.127813906953477
chr19	ICAM3	0.127813906953477
chr2	RETSAT	0.127813906953477
chr5	MARCHF3	0.127813906953477
chr2	KANSL1L-AS1	0.127563781890945
chr10	LINC00701	0.127313656828414
chr7	SDHAF3	0.127313656828414
chr14	FAM71D	0.126813406703352
chr17	SGSM2	0.126813406703352
chr19	APOE	0.126813406703352
chr20	BCAS1	0.126813406703352
chr3	PDZRN3	0.126813406703352
chr17	RNF213	0.126313156578289
chr18	SERPINB2	0.126313156578289
chr6	H1-6	0.126313156578289
chr13	LINC00442	0.126063031515758
chr5	ACTBL2	0.126063031515758
chr2	HIBCH	0.125812906453227
chr12	LRRK2	0.125562781390695
chr12	PPTC7	0.125562781390695
chr17	TMEM94	0.125562781390695
chr19	NLRP2	0.125312656328164
chr4	FAM53A	0.125312656328164
chr6	GUCA1A	0.125312656328164
chr6	RFPL4B	0.125312656328164
chr16	SSTR5-AS1	0.125062531265633
chr21	SIM2	0.124812406203102
chr3	KALRN	0.124812406203102
chr17	MMD	0.12456228114057
chr20	ZSWIM3	0.12456228114057
chr4	TNRC18P1	0.12456228114057
chr6	OSTM1	0.12456228114057
chr12	MAP3K12	0.124312156078039
chr17	PEMT	0.124312156078039
chr4	LINC02506	0.124312156078039
chr15	RMDN3	0.124062031015508
chr20	LINC02871	0.124062031015508
chr12	KRT77	0.123811905952976
chr16	LMF1	0.123811905952976
chr17	ARL17A	0.123811905952976
chr5	JMY	0.123811905952976
chr6	RPP40	0.123811905952976
chr6	PKHD1	0.123811905952976
chr12	STAC3	0.123561780890445
chr19	GRIN2D	0.123561780890445
chr19	PROSER3	0.123311655827914
chr21	LINC00479	0.123311655827914
chr7	COBL	0.123311655827914
chr10	LINC02653	0.122811405702851
chr11	TP53I11	0.122811405702851
chr13	N4BP2L2	0.122311155577789
chr14	RPGRIP1	0.122311155577789
chr4	NDST4	0.122311155577789
chr10	LRRC18	0.122061030515258
chr22	TFIP11	0.122061030515258
chr5	ELOVL7	0.122061030515258
chr8	NKX2-6	0.122061030515258
chr5	ZDHHC11	0.121560780390195
chr10	LOC101927692	0.121310655327664
chr13	AKAP11	0.121310655327664
chr13	DNAJC3	0.121310655327664
chr9	LOC401557	0.121310655327664
chr8	MAFA-AS1	0.121060530265133
chr20	LINC01727	0.120310155077539
chr7	CD36	0.120310155077539
chr10	LOC283045	0.120060030015008
chr14	OTX2	0.120060030015008
chr17	JMJD6	0.120060030015008
chr6	FAM162B	0.120060030015008
chr2	MSTN	0.119809904952476
chr22	LARGE1	0.119809904952476
chr16	ZNF500	0.119559779889945
chr3	CRYGS	0.119559779889945
chr12	LINC00940	0.119309654827414
chr18	POTEC	0.119309654827414
chr3	HESX1	0.119309654827414
chr10	CELF2-AS2	0.118809404702351
chr11	DEAF1	0.118809404702351
chr15	CTXN2	0.118809404702351
chr2	TEX41	0.118809404702351
chr20	SPATA25	0.118809404702351
chr22	LINC01634	0.118809404702351
chr22	WBP2NL	0.118809404702351
chr4	SEC24B	0.118809404702351
chr6	RAET1G	0.118809404702351
chr18	LINC01927	0.11855927963982
chr19	MRI1	0.118309154577289
chr6	KHDC1	0.118309154577289
chr3	PIGX	0.118059029514757
chr4	NIPAL1	0.118059029514757
chr7	RSBN1L	0.118059029514757
chr7	HTR5A-AS1	0.118059029514757
chr4	INTS12	0.117808904452226
chr7	GLI3	0.117808904452226
chr3	ALS2CL	0.117558779389695
chr16	NAA60	0.117308654327164
chr16	HCCAT5	0.117308654327164
chr21	LIPI	0.117308654327164
chr9	DNAJA1	0.117308654327164
chr4	IGFBP7-AS1	0.117058529264632
chr7	PON3	0.117058529264632
chr10	IDI2	0.116808404202101
chr11	GRAMD1B	0.116808404202101
chr14	SLIRP	0.116808404202101
chr19	SEMA6B	0.11655827913957
chr3	UBE2E2-AS1	0.11655827913957
chr7	GTF2IP7	0.116308154077039
chr8	AGO2	0.116308154077039
chr12	PLEKHA5	0.116058029014507
chr7	TNRC18	0.116058029014507
chr8	LOC101928902	0.116058029014507
chr11	EHBP1L1	0.115807903951976
chr4	SCRG1	0.115807903951976
chr21	KRTAP10-8	0.115557778889445
chr20	SGK2	0.115307653826913
chr3	SEC22C	0.115307653826913
