gene1	gene2	PIP	chr
LHFPL6	MYCBP2	0.00216666666666667	13
LCP1	SCEL	0.0153333333333333	13
UFM1	EDNRB-AS1	0.00116666666666667	13
ATP8A2	RBM26	0.0205	13
LMO7-AS1	LINC00564	0.0025	13
LINC00382	LINC00564	0.00166666666666667	13
TDRD3	LINC00430	0.0025	13
SACS-AS1	LINC00433	0.0118333333333333	13
RNASEH2B	GPC5-AS2	0.0025	13
PCDH9-AS2	GPR180	0.0266666666666667	13
LINC00373	GPR180	0.0045	13
MICU2	STK24	0.00216666666666667	13
ENOX1	UBAC2-AS1	0.00566666666666667	13
PIBF1	CLYBL-AS1	0.00183333333333333	13
LOC105370203	ITGBL1	0.0126666666666667	13
GPC6-AS1	FAM155A-IT1	0.00683333333333333	13
CPB2	LIG4	0.007	13
CCDC168	LIG4	5e-04	13
SLC7A1	LINC02337	0.0015	13
HTR2A	LOC101928730	0.0133333333333333	13
KL	LINC01043	0.00633333333333333	13
METTL21C	TUBGCP3	0.008	13
CPB2	F10	0.002	13
C1QTNF9	LOC101928841	0.00366666666666667	13
SPRYD7	LOC101928841	0.00266666666666667	13
GUCY1B2	LOC101928841	0.002	13
RNASE10	SLC7A7	0.00383333333333333	14
PSMB11	DHRS4L2	0.0095	14
OR4K17	GMPR2	0.00633333333333333	14
JPH4	LOC101927045	0.0173333333333333	14
SUPT16H	NPAS3	0.0188333333333333	14
PSMB11	NPAS3	0.009	14
C14orf93	BAZ1A	0.0075	14
MIR4307HG	FKBP3	0.0103333333333333	14
SSTR1	FBXO34	0.00883333333333333	14
PSMB11	JKAMP	0.000666666666666667	14
CMTM5	RTN1	0.00433333333333333	14
DTD2	HIF1A-AS1	0.0095	14
DHRS1	MTHFD1	0.002	14
PYGL	RAB15	0.008	14
NEMF	CCDC196	0.00133333333333333	14
REC8	SMOC1	0.0115	14
DHRS4	LINC01220	0.00583333333333333	14
LINC01629	SAMD15	0.0165	14
LINC00871	C14orf178	0.00133333333333333	14
POLE2	C14orf178	0.028	14
POLE2	NRXN3	0.0025	14
RNASE10	SEL1L	0.00283333333333333	14
AP4S1	CALM1	0.00316666666666667	14
MBIP	CCDC88C	0.00233333333333333	14
SSTR1	CATSPERB	0.000333333333333333	14
C14orf39	CPSF2	0.00416666666666667	14
NEMF	PRIMA1	0.0143333333333333	14
ARG2	PRIMA1	0.01	14
SRP54-AS1	EML1	0.0146666666666667	14
MIS18BP1	DLK1	0.00566666666666667	14
IFI27L1	DLK1	0.0676666666666667	14
SLC39A9	MIR495	0.00466666666666667	14
ADAM20	MIR495	0.00583333333333333	14
MYH6	RCOR1	0.0025	14
EML1	AMN	0.000166666666666667	14
SLC25A29	LINC00605	0.0508333333333333	14
OTX2	XRCC3	0.0141666666666667	14
ADAM20	LINC00221	0.00833333333333333	14
BUB1B	RAD51	0.0293333333333333	15
PLA2G4E	EPB42	0.0248333333333333	15
LOC283710	GOLM2	0.0156666666666667	15
TMEM62	MIR4712	0.0178333333333333	15
LINC02352	USP8	0.0121666666666667	15
TMEM62	USP50	0.0266666666666667	15
MIR4712	LOC101928725	0.0173333333333333	15
OCA2	RNF111	0.003	15
USP8	RORA	0.000666666666666667	15
ATP8B4	IGDCC4	0.00933333333333333	15
DPH6-DT	PEAK1	0.023	15
PIAS1	PEAK1	0.0113333333333333	15
SERF2	EFL1	0.012	15
LINC00929	C15orf40	0.0085	15
LINGO1-AS1	BTBD1	0.001	15
RPS27L	DET1	0.002	15
RMDN3	MFGE8	0.00216666666666667	15
GCNT3	MFGE8	0.00116666666666667	15
ADAMTS7P1	RLBP1	0.021	15
TUBGCP4	LINC01579	0.0211666666666667	15
LOC283710	LINC00924	0.0201666666666667	15
VPS39	LOC101927310	0.0116666666666667	15
EFL1	LOC101927310	0.00116666666666667	15
PCLAF	IGF1R	0.00633333333333333	15
DISP2	SYNM	0.000166666666666667	15
FAH	HSP90B2P	0.0085	15
SLC28A1	ASB7	0.00516666666666667	15
IL32	ZNF597	0.028	16
FLYWCH1	NOMO3	0.0288333333333333	16
FLYWCH1	LCMT1-AS1	0.006	16
CDIP1	IL21R-AS1	0.0113333333333333	16
RSL1D1	NPIPB6	0.041	16
LINC02177	APOBR	0.00233333333333333	16
KDM8	APOBR	0.014	16
METTL9	CNEP1R1	0.000833333333333333	16
PMM2	NOD2	0.008	16
TPSB2	LINC02180	0.000833333333333333	16
CLEC19A	CASC16	0.0256666666666667	16
LOC400499	RPGRIP1L	0.00166666666666667	16
CNEP1R1	SLC6A2	0.0223333333333333	16
GDE1	CCDC102A	0.00466666666666667	16
NFATC2IP	LINC02126	0.0301666666666667	16
ATXN2L	TK2	0.00683333333333333	16
PRSS21	SMG1P7	0.00333333333333333	16
FLYWCH1	ZNF821	0.0186666666666667	16
PKMYT1	PMFBP1	0.0143333333333333	16
PDZD9	MLYCD	0.0188333333333333	16
APOBR	CYBA	5e-04	16
KCTD19	SNAI3-AS1	0.0268333333333333	16
CETP	LOC100289580	0.0196666666666667	16
LMF1	LOC101927793	0.0148333333333333	16
TBC1D10B	DEF8	0.007	16
TLCD2	GABARAP	0.0508333333333333	17
AURKB	KCNJ12	0.0471666666666667	17
PIRT	SUZ12	0.0065	17
KCNJ12	HNF1B	0.0231666666666667	17
HIC1	KRT35	0.0155	17
VTN	MEIOC	0.0115	17
SLC25A39	OSBPL7	5e-04	17
RDM1	SGCA	0.00583333333333333	17
SHISA6	TMEM92-AS1	0.00283333333333333	17
DERL2	LUC7L3	0.0441666666666667	17
SNF8	LUC7L3	0.0158333333333333	17
SH3GL1P1	STXBP4	0.00766666666666667	17
CACNB1	MMD	0.0448333333333333	17
MYO15A	DYNLL2	0.0195	17
MAPT-AS1	LPO	0.00583333333333333	17
LPO	FTSJ3	0.0126666666666667	17
GIT1	PRR29-AS1	0.0243333333333333	17
TRARG1	PRKCA	0.0225	17
ALDH3A1	PRKCA	0.014	17
TANC2	PRKCA	0.004	17
STAT5A	CASKIN2	0.01	17
SUMO2	UNC13D	0.00683333333333333	17
DERL2	ACOX1	0.0163333333333333	17
ZSWIM7	LOC100507351	0.0136666666666667	17
PRPSAP2	LINC01973	0.0313333333333333	17
MRPL38	CBX8	0.0116666666666667	17
P3H4	CCDC40	0.0168333333333333	17
PIPOX	DUS1L	0.0025	17
SRSF1	FASN	0.0151666666666667	17
SUZ12P1	FOXK2	0.003	17
TYMS	MYL12B	0.00183333333333333	18
METTL4	TGIF1	0.00283333333333333	18
TMEM200C	PRELID3A	0.000833333333333333	18
L3MBTL4	PSMG2	0.00833333333333333	18
ZBTB14	CEP192	0.0075	18
MYL12A	MC5R	0.0025	18
SPIRE1	ANKRD20A5P	0.00383333333333333	18
CLUL1	GATA6	0.00366666666666667	18
LAMA1	RBBP8	0.000833333333333333	18
DLGAP1	TMEM241	0.00383333333333333	18
TYMSOS	TTC39C-AS1	0.005	18
USP14	TTC39C	0.00516666666666667	18
SPIRE1	LOC105372028	0.000833333333333333	18
TYMS	TAF4B	0.00533333333333333	18
TXNDC2	TAF4B	0.00966666666666667	18
SPIRE1	TAF4B	0.000666666666666667	18
TYMSOS	DSCAS	0.01	18
MYL12A	DSCAS	0.00416666666666667	18
CEP192	TRAPPC8	0.001	18
MC2R	DTNA	0.005	18
RBBP8	INO80C	0.000166666666666667	18
ANKRD20A5P	C18orf21	0.00133333333333333	18
LINC01894	KIAA1328	0.009	18
LOC105371998	CELF4	0.0065	18
CETN1	LINC01477	0.00716666666666667	18
ADCYAP1	LINC01477	0.0095	18
PSMA8	LINC01477	0.00216666666666667	18
IMPACT	PIK3C3	0.00716666666666667	18
RAB31	EPG5	0.00333333333333333	18
ZNF519	IER3IP1	0.0055	18
ZNF396	SKOR2	0.003	18
RAB31	MIR4527HG	0.00616666666666667	18
ANKRD29	C18orf12	0.00233333333333333	18
MIR3976HG	CTIF	0.0105	18
LINC01882	CTIF	0.00583333333333333	18
NOL4	SNHG22	0.0065	18
GNAL	MBD1	0.006	18
CTAGE1	SKA1	0.00266666666666667	18
MAPRE2	MAPK4	0.0106666666666667	18
MIR4527HG	MRO	0.00383333333333333	18
MYL12A	ELAC1	0.00233333333333333	18
RAB12	LINC01919	0.00216666666666667	18
DLGAP1-AS5	STARD6	0.001	18
LDLRAD4	DYNAP	0.000833333333333333	18
CETN1	LOC642484	0.000333333333333333	18
TYMS	LOC100505549	0.0141666666666667	18
TUBB8B	NEDD4L	0.00216666666666667	18
ROCK1P1	NEDD4L	0.0145	18
ASXL3	NEDD4L	0.00166666666666667	18
LOC101927188	ALPK2	0.0123333333333333	18
B4GALT6	OACYLP	0.00216666666666667	18
KATNAL2	OACYLP	0.00166666666666667	18
RBBP8	SEC11C	0.000166666666666667	18
PPP4R1	GRP	0.002	18
LINC01443	RAX	0.00866666666666667	18
RAB31	LMAN1	0.0123333333333333	18
TAF4B	LMAN1	0.0198333333333333	18
FECH	CCBE1	0.0105	18
DLGAP1	PMAIP1	0.0121666666666667	18
GAPLINC	CDH20	0.000833333333333333	18
OSBPL1A	CDH20	0.00383333333333333	18
LOC642484	CDH20	0.00183333333333333	18
TMEM200C	RNF152	0.00116666666666667	18
RNF138	PIGN	0.000833333333333333	18
ZNF519	SERPINB5	0.0075	18
METTL4	SERPINB4	5e-04	18
LINC01601	SERPINB7	5e-04	18
LINC01477	SERPINB10	0.00133333333333333	18
C18orf25	LINC00305	0.001	18
CCBE1	CDH7	0.0283333333333333	18
LOC101927571	DOK6	0.0075	18
RAB31	CD226	0.000833333333333333	18
LINC01543	RTTN	5e-04	18
ELAC1	RTTN	0.00466666666666667	18
NAPG	SOCS6	0.0108333333333333	18
POTEC	CBLN2	0.00216666666666667	18
LINC01544	LOC100505797	0.00233333333333333	18
EMILIN2	LINC02864	0.00416666666666667	18
SERPINB4	LINC02864	0.0015	18
STARD6	LINC01922	0.00216666666666667	18
EPG5	DIPK1C	0.0116666666666667	18
ACAA2	CNDP2	0.0131666666666667	18
SERPINB11	CNDP1	0.0156666666666667	18
EMILIN2	LINC01893	0.00316666666666667	18
SS18	LINC01893	0.00383333333333333	18
LINC01929	LINC01893	0.00733333333333333	18
DSEL	LINC00683	0.00183333333333333	18
PPP4R1	ZNF236-DT	0.00733333333333333	18
GNAL	ZNF236-DT	0.002	18
EMILIN2	ZNF236	0.0106666666666667	18
TXNDC2	ZNF236	0.0113333333333333	18
LINC01915	ZNF236	0.00616666666666667	18
PIAS2	ZNF236	0.011	18
SEC11C	ZNF236	0.00166666666666667	18
VAPA	LINC01029	0.00733333333333333	18
MIB1	LINC01029	5e-04	18
WDR7	LINC01029	0.0211666666666667	18
ADCYAP1	LOC284241	0.0105	18
LINC01902	CTDP1	0.00133333333333333	18
PTPRM	SLC66A2	0.00216666666666667	18
ACAA2	HSBP1L1	0.00216666666666667	18
NEDD4L	HSBP1L1	0.000166666666666667	18
ARID3A	KHSRP	0.0166666666666667	19
ARRDC5	RAB11B-AS1	0.00116666666666667	19
ABHD17A	IER2	0.00866666666666667	19
GNA15	ZSWIM4	0.0275	19
CNN1	AKAP8L	0.00316666666666667	19
C19orf12	FXYD5	0.0841666666666667	19
CDKN2D	FFAR2	0.0356666666666667	19
DNAJB1	TYROBP	0.00183333333333333	19
FFAR2	ZNF227	0.000166666666666667	19
ZNF558	BCAM	0.0358333333333333	19
MYO1F	NKPD1	0.0248333333333333	19
GARRE1	RTN2	0.0085	19
PTBP1	DHDH	0.0685	19
ARID3A	RPS11	0.00466666666666667	19
LINC01480	PRMT1	0.022	19
FBXO27	SNAR-D	0.0293333333333333	19
C5AR1	MYBPC2	0.0518333333333333	19
WTIP	MIR1283-1	0.0258333333333333	19
CCDC9	ZSCAN5B	0.0738333333333333	19
ZNF527	ZNF548	0.046	19
GSK3A	ZNF552	0.000833333333333333	19
DEFB129	ADAM33	0.00833333333333333	20
LINC01433	CDS2	0.00116666666666667	20
RBCK1	CST4	0.00166666666666667	20
DEFB129	CST1	0.00333333333333333	20
POLR3F	GGTLC1	0.0181666666666667	20
DEFB129	DEFB116	0.004	20
MIR663AHG	DEFB116	0.00266666666666667	20
CST4	HM13	0.00216666666666667	20
NAPB	BPIFB6	0.00566666666666667	20
XRN2	E2F1	0.0201666666666667	20
SLC52A3	PIGU	0.000166666666666667	20
XRN2	PHF20	0.00433333333333333	20
LOC284788	MANBAL	5e-04	20
DEFB129	VSTM2L	0.00233333333333333	20
FER1L4	TTI1	0.00666666666666667	20
DEFB129	TTPAL	0.0176666666666667	20
MAP1LC3A	KCNK15-AS1	0.0025	20
NAPB	PTGIS	0.000166666666666667	20
NDRG3	SLC9A8	0.0221666666666667	20
LOC101926889	ADNP-AS1	0.00266666666666667	20
SRXN1	LINC01524	0.012	20
ZNF334	GCNT7	0.0375	20
LOC105372582	MIR4325	0.00433333333333333	20
STK4	MIR4325	0.0145	20
ASXL1	APCDD1L-DT	0.00566666666666667	20
SPATA25	CTSZ	0.005	20
CDC25B	ATP5F1E	0.00516666666666667	20
TBC1D20	EDN3	0.002	20
BCL2L1	CDH4	0.0035	20
PKIG	CDH4	0.00833333333333333	20
LINC01428	HRH3	0.00283333333333333	20
ESF1	HRH3	0.00433333333333333	20
DZANK1	LINC00029	0.00183333333333333	20
LOC284788	ARFGAP1	0.002	20
ESF1	RTEL1-TNFRSF6B	0.0065	20
DEFB129	RTEL1	0.0176666666666667	20
NCOA5	ZGPAT	0.0015	20
LOC613266	ZNF512B	0.001	20
MROH8	LINC00266-1	0.022	20
SAMSN1	C21orf91-OT1	0.001	21
CYP4F29P	LINC01687	0.00266666666666667	21
LINC00314	LINC01697	0.00116666666666667	21
CYP4F29P	BACH1-IT3	0.00166666666666667	21
D21S2088E	GRIK1-AS1	0.0035	21
CYP4F29P	CLDN8	0.00166666666666667	21
CHODL-AS1	CLDN8	0.00766666666666667	21
LINC01549	KRTAP19-7	0.00666666666666667	21
GRIK1	KRTAP19-7	0.000833333333333333	21
GRIK1-AS2	KRTAP19-7	0.0015	21
SAMSN1	KRTAP22-1	0.0275	21
LINC01697	KRTAP20-1	0.00683333333333333	21
KRTAP27-1	SCAF4	0.0055	21
CYYR1-AS1	HUNK	0.0075	21
LINC01549	LINC00159	0.00833333333333333	21
SAMSN1	EVA1C	0.00366666666666667	21
BACH1-IT2	EVA1C	0.001	21
LINC01674	LINC00945	0.00183333333333333	21
LINC01549	LOC101928107	0.0106666666666667	21
EVA1C	TMEM50B	0.00116666666666667	21
APP	DNAJC28	0.00216666666666667	21
JAM2	SON	0.001	21
KRTAP20-1	DONSON	0.00433333333333333	21
KRTAP20-3	LINC00310	0.0045	21
HUNK	LINC00310	0.00233333333333333	21
GRIK1-AS2	RCAN1	0.0025	21
KRTAP11-1	RUNX1	0.0108333333333333	21
LINC00113	LOC100506403	0.0148333333333333	21
KRTAP13-2	LOC100506403	0.00283333333333333	21
C21orf91-OT1	LOC101928269	0.000333333333333333	21
LOC110091777	LINC01436	0.00233333333333333	21
LINC00113	LINC01436	0.00766666666666667	21
LINC01697	CBR3-AS1	0.00116666666666667	21
HUNK	CBR3-AS1	0.002	21
C21orf62-AS1	CHAF1B	0.00616666666666667	21
LINC02246	CLDN14	0.0186666666666667	21
TMPRSS15	CLDN14	0.00766666666666667	21
CBR3-AS1	CLDN14	0.00633333333333333	21
GRIK1-AS1	RIPPLY3	0.000166666666666667	21
LINC01683	DYRK1A	0.00116666666666667	21
LINC00317	DYRK1A	0.004	21
LINC01692	DSCR8	0.001	21
D21S2088E	KCNJ15	0.000833333333333333	21
LINC00314	LINC01423	0.000666666666666667	21
